<DATE>;<TIME>;<LAST>;<VOL>;<ID>;<OPER>
01/09/20;01:00:00;73.8850000;73.9714000;73.7400000;73.9677000;136
01/09/20;02:00:00;73.9329000;73.9329000;73.5670000;73.7805000;463
01/09/20;03:00:00;73.7773000;73.8842000;73.6140000;73.8464000;514
01/09/20;04:00:00;73.8460000;73.9256000;73.5750000;73.8455000;561
01/09/20;05:00:00;73.8440000;73.9435000;73.5900000;73.9290000;433
01/09/20;06:00:00;73.8010000;73.9905000;73.4870000;73.7913000;734
01/09/20;07:00:00;73.7822000;73.8575000;73.4390000;73.7972000;402
01/09/20;08:00:00;73.5710000;73.8647000;73.4630000;73.7320000;614
01/09/20;09:00:00;73.8567000;73.9261000;73.4900000;73.5330000;1916
01/09/20;10:00:00;73.5330000;73.7045000;73.4800000;73.5848000;1904
01/09/20;11:00:00;73.6007000;73.7392100;73.4418000;73.4419000;84258
01/09/20;12:00:00;73.4418000;73.6422200;73.3817000;73.5997100;143774
01/09/20;13:00:00;73.5990100;73.7428100;73.4794000;73.7250000;112585
01/09/20;14:00:00;73.7250000;73.7593200;73.4477000;73.4742000;92179
01/09/20;15:00:00;73.4742000;73.6000000;73.4278000;73.5316000;104242
01/09/20;16:00:00;73.5317000;73.5870000;73.4445000;73.4505000;100316
01/09/20;17:00:00;73.4950000;73.6233000;73.4214000;73.5334100;100278
01/09/20;18:00:00;73.5385000;73.6151100;73.3190000;73.3750000;40533
01/09/20;19:00:00;73.3750000;73.5712300;73.3091000;73.5576100;57884
01/09/20;20:00:00;73.5399000;73.6786100;73.4241000;73.6546400;26769
01/09/20;21:00:00;73.6475000;73.7404300;73.5816000;73.6275000;31383
01/09/20;22:00:00;73.6275000;73.7470000;73.5776000;73.6784100;50003
01/09/20;23:00:00;73.6740000;73.7386100;73.6249000;73.7275000;17769
02/09/20;00:00:00;73.7216000;73.7366100;73.3490000;73.3490000;9709
02/09/20;01:00:00;73.6653000;73.7333000;73.3260000;73.7210000;278
02/09/20;02:00:00;73.6749000;73.7333000;73.3940000;73.4320000;302
02/09/20;03:00:00;73.4040000;73.6880000;73.3950000;73.5924000;530
02/09/20;04:00:00;73.4370000;73.5818000;73.3780000;73.4360000;722
02/09/20;05:00:00;73.4370000;73.6102000;73.3810000;73.5430000;1462
02/09/20;06:00:00;73.5420000;73.7114000;73.4260000;73.4990000;1300
02/09/20;07:00:00;73.4990000;73.6124000;73.4370000;73.5406000;1008
02/09/20;08:00:00;73.4820000;73.7025000;73.4440000;73.6405000;1435
02/09/20;09:00:00;73.6140000;73.7680000;73.4560000;73.6099000;1241
02/09/20;10:00:00;73.5430000;73.8539000;73.4787000;73.7632000;1618
02/09/20;11:00:00;73.7585000;73.9650000;73.5768000;73.8615000;63787
02/09/20;12:00:00;73.9000000;74.1635900;73.8284000;74.0816000;42514
02/09/20;13:00:00;74.0950000;74.1624600;73.9270000;73.9620000;34161
02/09/20;14:00:00;73.9610000;74.1421400;73.8555000;74.0509000;90880
02/09/20;15:00:00;74.0509000;74.2230100;74.0189000;74.1288000;97009
02/09/20;16:00:00;74.1288000;74.3740000;74.0560000;74.3433000;86636
02/09/20;17:00:00;74.3550000;75.4845000;74.3045000;75.2073000;137708
02/09/20;18:00:00;75.2125100;75.7140000;74.9893000;75.5575000;104633
02/09/20;19:00:00;75.5492000;75.6402600;75.2183000;75.3228000;56582
02/09/20;20:00:00;75.3347100;75.5275000;75.2570000;75.3975000;52323
02/09/20;21:00:00;75.3970000;75.4203100;75.0602000;75.2950000;40212
02/09/20;22:00:00;75.2950000;75.4338100;75.1865000;75.3295000;36576
02/09/20;23:00:00;75.3292000;75.3813100;75.1548000;75.2691000;24957
03/09/20;00:00:00;75.2685900;75.4513000;75.1350000;75.4418000;10842
03/09/20;01:00:00;75.4449000;75.4954000;75.1330000;75.4954000;380
03/09/20;02:00:00;75.4385000;75.5040000;75.1520000;75.1960000;693
03/09/20;03:00:00;75.2020000;75.5001000;75.2020000;75.4758000;1017
