Территория,Значение (январь-декабрь 2019г),к АППГ (январь-декабрь 2018г)/отклонение,к АППГ (январь-декабрь 2018г)/темп роста,Отклонение от/ФО,Отклонение от/РФ,Ранг по/ФО,Ранг по/РФ
Российская  Федерация,"40 876,00","-6 767,00","85,8%",,,,
Дальневосточный федеральный округ,"43 516,00","-8 884,00","83,0%",,"2 640,00",,3
Амурская область,"36 355,00","-8 309,00","81,4%","-7 161,00","-4 521,00",8,26
Еврейская автономная область,"29 251,00","-5 097,00","85,2%","-14 265,00","-11 625,00",9,58
Забайкальский край,,,,,,,
Камчатская область,,,,,,,
Камчатский край,"62 479,00","-8 030,00","88,6%","18 963,00","21 603,00",4,7
Корякский автономный округ,,,,,,,
Магаданская область,"68 575,00","-2 122,00","97,0%","25 059,00","27 699,00",2,5
Приморский край,"41 120,00","-8 810,00","82,4%","-2 396,00","244,00",7,18
Республика Бурятия,,,,,,,
Республика Саха (Якутия),"57 455,00","-14 000,00","80,4%","13 939,00","16 579,00",5,8
Сахалинская область,"67 118,00","-144,00","99,8%","23 602,00","26 242,00",3,6
Хабаровский край,"47 769,00","-12 276,00","79,6%","4 253,00","6 893,00",6,14
Чукотский автономный округ,"91 034,00","-35 254,00","72,1%","47 518,00","50 158,00",1,1
Приволжский федеральный округ,"32 627,00","-4 102,00","88,8%",,"-8 249,00",,6
Кировская область,"26 728,00","-6 116,00","81,4%","-5 899,00","-14 148,00",8,70
Коми-Пермяцкий автономный округ,,,,,,,
Нижегородская область,"37 344,00","-5 376,00","87,4%","4 717,00","-3 532,00",2,22
Оренбургская область,"27 836,00","-4 678,00","85,6%","-4 791,00","-13 040,00",7,67
Пензенская область,"25 934,00","-4 526,00","85,1%","-6 693,00","-14 942,00",11,74
Пермская область,,,,,,,
Пермский край,"35 269,00","-5 346,00","86,8%","2 642,00","-5 607,00",4,31
Республика Башкортостан,"36 206,00","-4 083,00","89,9%","3 579,00","-4 670,00",3,28
Республика Марий Эл,"24 273,00","-3 623,00","87,0%","-8 354,00","-16 603,00",12,78
Республика Мордовия,"21 959,00","-2 621,00","89,3%","-10 668,00","-18 917,00",14,83
Республика Татарстан (Татарстан),"42 630,00","-2 213,00","95,1%","10 003,00","1 754,00",1,16
Самарская область,"33 563,00","-4 672,00","87,8%","936,00","-7 313,00",5,40
Саратовская область,"26 450,00","-3 358,00","88,7%","-6 177,00","-14 426,00",10,72
Удмуртская республика,"29 408,00","-3 790,00","88,6%","-3 219,00","-11 468,00",6,56
Ульяновская область,"26 595,00","-4 439,00","85,7%","-6 032,00","-14 281,00",9,71
Чувашская Республика-Чувашия,"23 435,00","-2 339,00","90,9%","-9 192,00","-17 441,00",13,80
Северо-Западный федеральный округ,"43 683,00","-8 090,00","84,4%",,"2 807,00",,2
Архангельская область,"37 706,00","-9 582,00","79,7%","-5 977,00","-3 170,00",5,21
Архангельская область без авт. округа,"35 948,00","-9 563,00","79,0%","-7 735,00","-4 928,00",7,30
Вологодская область,"31 732,00","-6 577,00","82,8%","-11 951,00","-9 144,00",10,48
г. Санкт-Петербург,"55 870,00","-11 376,00","83,1%","12 187,00","14 994,00",2,10
