INTERVAL;M_DATE;PRICE_ZONE_ID;POWER_SYS_ID;E_USE_FACT;E_USE_PLAN;GEN_FACT;GEN_PLAN
0;01.09.2020 0:00:00;1;0;68776;69795;71440;71807
1;01.09.2020 0:00:00;1;0;67846;68051;69345;69124
2;01.09.2020 0:00:00;1;0;67186;67202;68187;68269
3;01.09.2020 0:00:00;1;0;67243;67527;68940;69193
4;01.09.2020 0:00:00;1;0;67973;68572;70114;70459
5;01.09.2020 0:00:00;1;0;70673;70869;72923;72705
6;01.09.2020 0:00:00;1;0;75847;75863;77733;77306
7;01.09.2020 0:00:00;1;0;79671;80695;80990;81178
8;01.09.2020 0:00:00;1;0;83749;85194;84845;85693
9;01.09.2020 0:00:00;1;0;84825;86444;85794;86966
10;01.09.2020 0:00:00;1;0;85406;85850;86276;86518
11;01.09.2020 0:00:00;1;0;85445;85400;86438;86004
12;01.09.2020 0:00:00;1;0;85814;86017;87549;86593
13;01.09.2020 0:00:00;1;0;86236;86622;87531;87170
14;01.09.2020 0:00:00;1;0;86343;86530;87613;86997
15;01.09.2020 0:00:00;1;0;85794;86034;88217;87478
16;01.09.2020 0:00:00;1;0;84820;85178;86844;86469
17;01.09.2020 0:00:00;1;0;83944;84677;85308;85172
18;01.09.2020 0:00:00;1;0;84310;85546;85252;85692
19;01.09.2020 0:00:00;1;0;85672;86627;86347;86635
20;01.09.2020 0:00:00;1;0;84030;84874;85098;84756
21;01.09.2020 0:00:00;1;0;80093;81014;81383;82004
22;01.09.2020 0:00:00;1;0;75528;76086;76547;77144
23;01.09.2020 0:00:00;1;0;71799;72139;73256;73225
0;02.09.2020 0:00:00;1;0;69383;69595;70500;70752
1;02.09.2020 0:00:00;1;0;67665;68060;69206;69244
2;02.09.2020 0:00:00;1;0;67326;67540;68469;68965
3;02.09.2020 0:00:00;1;0;67409;67559;68724;69267
4;02.09.2020 0:00:00;1;0;68697;68829;70756;70969
5;02.09.2020 0:00:00;1;0;70750;71251;73346;73415
6;02.09.2020 0:00:00;1;0;76271;76298;78070;78006
7;02.09.2020 0:00:00;1;0;80613;80518;81492;81381
8;02.09.2020 0:00:00;1;0;84456;84878;85549;85728
9;02.09.2020 0:00:00;1;0;85687;86524;86973;87340
10;02.09.2020 0:00:00;1;0;85979;86699;86789;87508
11;02.09.2020 0:00:00;1;0;85699;86339;86778;87216
12;02.09.2020 0:00:00;1;0;85732;86572;86929;87511
13;02.09.2020 0:00:00;1;0;86295;86954;87190;87797
14;02.09.2020 0:00:00;1;0;85779;86508;87367;87197
15;02.09.2020 0:00:00;1;0;85643;85977;87837;87632
16;02.09.2020 0:00:00;1;0;84968;85233;86566;86918
17;02.09.2020 0:00:00;1;0;84305;84605;85403;85482
18;02.09.2020 0:00:00;1;0;84998;85151;85845;85615
19;02.09.2020 0:00:00;1;0;86129;86669;86696;86859
20;02.09.2020 0:00:00;1;0;84101;85500;85625;85486
21;02.09.2020 0:00:00;1;0;80815;81343;82102;82290
22;02.09.2020 0:00:00;1;0;75704;76180;77031;77318
23;02.09.2020 0:00:00;1;0;72018;72377;73486;73548
0;03.09.2020 0:00:00;1;0;69696;69606;70582;70555
1;03.09.2020 0:00:00;1;0;68106;68107;69499;69140
2;03.09.2020 0:00:00;1;0;67829;67634;69019;68962
3;03.09.2020 0:00:00;1;0;68070;68057;70331;69999
4;03.09.2020 0:00:00;1;0;69288;69289;71835;71535
5;03.09.2020 0:00:00;1;0;71552;71736;73849;73868
6;03.09.2020 0:00:00;1;0;76695;77115;77970;78599
7;03.09.2020 0:00:00;1;0;80605;81242;82013;82040
8;03.09.2020 0:00:00;1;0;84395;85214;85622;85936
9;03.09.2020 0:00:00;1;0;85758;86566;86846;87487
10;03.09.2020 0:00:00;1;0;85677;86662;86695;87521
11;03.09.2020 0:00:00;1;0;85181;86221;86563;87185
12;03.09.2020 0:00:00;1;0;86001;86046;87060;86962
13;03.09.2020 0:00:00;1;0;86040;86222;87547;86867
14;03.09.2020 0:00:00;1;0;86523;86453;88235;86978
15;03.09.2020 0:00:00;1;0;86135;86024;88850;87544
16;03.09.2020 0:00:00;1;0;84802;85428;86942;86607
17;03.09.2020 0:00:00;1;0;84614;84863;85536;85395
18;03.09.2020 0:00:00;1;0;86055;85344;86412;85496
19;03.09.2020 0:00:00;1;0;86813;86611;87099;86399
20;03.09.2020 0:00:00;1;0;84653;85630;85140;85179
21;03.09.2020 0:00:00;1;0;81287;81968;81948;82292
22;03.09.2020 0:00:00;1;0;76184;76736;76944;77419
23;03.09.2020 0:00:00;1;0;72540;72686;73396;73497
0;04.09.2020 0:00:00;1;0;70015;69896;71424;70715
1;04.09.2020 0:00:00;1;0;68828;68584;69675;69534
2;04.09.2020 0:00:00;1;0;68243;68196;69722;69416
3;04.09.2020 0:00:00;1;0;68462;68633;69895;70021
4;04.09.2020 0:00:00;1;0;69726;69838;71234;71706
