Территория,Значение (январь-март 2017г),к АППГ (январь-март 2016г)/отклонение,к АППГ (январь-март 2016г)/темп роста,Отклонение от/ФО,Отклонение от/РФ,Ранг по/ФО,Ранг по/РФ
Российская  Федерация,"1,20","-0,20","85,7%",,,,
Дальневосточный федеральный округ,"1,70","-0,10","94,4%",,"0,50",,7
Амурская область,"3,00","-0,10","96,8%","1,30","1,80",11,82
Еврейская автономная область,"1,30","0,00","100,0%","-0,40","0,10",3,46
Забайкальский край,"1,90","-0,40","82,6%","0,20","0,70",7,70
Камчатская область,,,,,,,
Камчатский край,"1,80","-0,10","94,7%","0,10","0,60",6,62
Корякский автономный округ,,,,,,,
Магаданская область,"1,90","-0,20","90,5%","0,20","0,70",7,70
Приморский край,"1,40","-0,20","87,5%","-0,30","0,20",4,51
Республика Бурятия,"1,40","0,00","100,0%","-0,30","0,20",4,51
Республика Саха (Якутия),"2,60","0,30","113,0%","0,90","1,40",10,80
Сахалинская область,"0,90","0,10","112,5%","-0,80","-0,30",1,22
Хабаровский край,"1,10","-0,30","78,6%","-0,60","-0,10",2,32
Чукотский автономный округ,"2,40","-0,40","85,7%","0,70","1,20",9,78
Приволжский федеральный округ,"1,00","-0,20","83,3%",,"-0,20",,3
Кировская область,"1,40","-0,10","93,3%","0,40","0,20",12,51
Коми-Пермяцкий автономный округ,,,,,,,
Нижегородская область,"0,50","-0,20","71,4%","-0,50","-0,70",1,3
Оренбургская область,"1,60","-0,10","94,1%","0,60","0,40",14,60
Пензенская область,"0,80","-0,10","88,9%","-0,20","-0,40",4,17
Пермская область,,,,,,,
Пермский край,"1,40","-0,40","77,8%","0,40","0,20",12,51
Республика Башкортостан,"1,20","-0,20","85,7%","0,20","0,00",10,41
Республика Марий Эл,"1,10","-0,20","84,6%","0,10","-0,10",7,32
Республика Мордовия,"0,90","0,00","100,0%","-0,10","-0,30",6,22
Республика Татарстан (Татарстан),"0,70","-0,20","77,8%","-0,30","-0,50",3,10
Самарская область,"1,20","-0,30","80,0%","0,20","0,00",10,41
Саратовская область,"1,10","-0,10","91,7%","0,10","-0,10",7,32
Удмуртская республика,"1,10","-0,20","84,6%","0,10","-0,10",7,32
Ульяновская область,"0,50","-0,20","71,4%","-0,50","-0,70",1,3
Чувашская Республика-Чувашия,"0,80","-0,10","88,9%","-0,20","-0,40",4,17
Северо-Западный федеральный округ,"1,00","-0,10","90,9%",,"-0,20",,3
Архангельская область,"1,80","-0,20","90,0%","0,80","0,60",7,62
Архангельская область без авт. округа,"1,80","-0,20","90,0%","0,80","0,60",7,62
Вологодская область,"1,40","-0,40","77,8%","0,40","0,20",6,51
г. Санкт-Петербург,"0,40","-0,10","80,0%","-0,60","-0,80",1,2
Калининградская область,"1,00","-0,30","76,9%","0,00","-0,20",3,26
Ленинградская область,"0,50","0,00","100,0%","-0,50","-0,70",2,3
Мурманская область,"1,80","-0,10","94,7%","0,80","0,60",7,62
Ненецкий автономный округ,"3,00","-0,10","96,8%","2,00","1,80",12,82
Новгородская область,"1,10","-0,30","78,6%","0,10","-0,10",4,32
Псковская область,"1,30","-0,20","86,7%","0,30","0,10",5,46
Республика Карелия,"2,30","-0,30","88,5%","1,30","1,10",11,77
Республика Коми,"1,90","0,00","100,0%","0,90","0,70",10,70
Северо-Кавказский федеральный округ,"3,20","-0,60","84,2%",,"2,00",,8
Кабардино-Балкарская Республика,"2,10","-0,10","95,5%","-1,10","0,90",4,75
Карачаево-Черкесская Республика,"1,80","-0,20","90,0%","-1,40","0,60",2,62
Республика Дагестан,"2,00","-0,20","90,9%","-1,20","0,80",3,73
Республика Ингушетия,"10,80","-2,50","81,2%","7,60","9,60",7,87
Республика Северная Осетия-Алания,"2,80","0,10","103,7%","-0,40","1,60",5,81
Ставропольский край,"1,00","-0,10","90,9%","-2,20","-0,20",1,26
Чеченская республика,"9,20","-2,90","76,0%","6,00","8,00",6,86
Сибирский федеральный округ,"1,60","-0,30","84,2%",,"0,40",,6
Агинский-Бурятский автономный округ,,,,,,,
Алтайский край,"1,80","-0,30","85,7%","0,20","0,60",6,62
Иркутская область,"1,40","0,00","100,0%","-0,20","0,20",4,51
Кемеровская область,"2,40","-0,40","85,7%","0,80","1,20",8,78
Красноярский край,"1,20","-0,30","80,0%","-0,40","0,00",2,41
Новосибирская область,"1,10","-0,30","78,6%","-0,50","-0,10",1,32
Омская область,"1,30","-0,10","92,9%","-0,30","0,10",3,46
Республика Алтай,"3,10","-0,20","93,9%","1,50","1,90",9,84
Республика Тыва,"4,70","-0,30","94,0%","3,10","3,50",10,85
Республика Хакасия,"2,10","-0,30","87,5%","0,50","0,90",7,75
Таймырский автономный округ,,,,,,,
Томская область,"1,70","-0,30","85,0%","0,10","0,50",5,61
Усть-Ордынский Бурятский автономный округ,,,,,,,
Читинская область,,,,,,,
Эвенкийский автономный округ,,,,,,,
Уральский федеральный округ,"1,40","-0,10","93,3%",,"0,20",,5
Курганская область,"2,00","-0,10","95,2%","0,60","0,80",7,73
Свердловская область,"1,50","-0,20","88,2%","0,10","0,30",5,58
Тюменская область,"0,70","-0,10","87,5%","-0,70","-0,50",2,10
Тюменская область без авт. округов,"0,80","0,00","100,0%","-0,60","-0,40",3,17
Ханты-Мансийский автономный округ,"0,60","0,00","100,0%","-0,80","-0,60",1,8
Челябинская область,"1,80","-0,20","90,0%","0,40","0,60",6,62
Ямало-Ненецкий автономный округ,"1,00","-0,10","90,9%","-0,40","-0,20",4,26
Центральный федеральный округ,"0,80","-0,10","88,9%",,"-0,40",,1
Белгородская область,"0,70","-0,30","70,0%","-0,10","-0,50",3,10
Брянская область,"1,10","-0,30","78,6%","0,30","-0,10",12,32
Владимирская область,"1,20","-0,20","85,7%","0,40","0,00",15,41
Воронежская область,"1,10","-0,10","91,7%","0,30","-0,10",12,32
г. Москва,"0,50","-0,20","71,4%","-0,30","-0,70",1,3
Ивановская область,"1,10","-0,30","78,6%","0,30","-0,10",12,32
Калужская область,"0,70","-0,10","87,5%","-0,10","-0,50",3,10
Костромская область,"0,80","-0,10","88,9%","0,00","-0,40",7,17
Курская область,"1,00","-0,30","76,9%","0,20","-0,20",10,26
Липецкая область,"0,50","-0,20","71,4%","-0,30","-0,70",1,3
Московская область,"0,70","-0,10","87,5%","-0,10","-0,50",3,10
Орловская область,"1,20","-0,10","92,3%","0,40","0,00",15,41
Рязанская область,"0,90","-0,10","90,0%","0,10","-0,30",8,22
Смоленская область,"1,30","-0,20","86,7%","0,50","0,10",17,46
Тамбовская область,"0,90","-0,10","90,0%","0,10","-0,30",8,22
Тверская область,"1,00","-0,30","76,9%","0,20","-0,20",10,26
Тульская область,"0,70","-0,20","77,8%","-0,10","-0,50",3,10
Ярославская область,"1,50","-0,30","83,3%","0,70","0,30",18,58
Южный федеральный округ,"0,80","-0,20","80,0%",,"-0,40",,1
Астраханская область,"1,40","-0,10","93,3%","0,60","0,20",7,51
Волгоградская область,"1,00","-0,20","83,3%","0,20","-0,20",5,26
г. Севастополь,"0,20","0,00","100,0%","-0,60","-1,00",1,1
Краснодарский край,"0,60","-0,20","75,0%","-0,20","-0,60",2,8
Республика Адыгея (Адыгея),"1,30","-0,10","92,9%","0,50","0,10",6,46
Республика Калмыкия,"1,80","-0,40","81,8%","1,00","0,60",8,62
Республика Крым,"0,70","-0,20","77,8%","-0,10","-0,50",3,10
