Территория,Значение (январь-март 2017г),к АППГ (январь-март 2016г)/отклонение,к АППГ (январь-март 2016г)/темп роста,Отклонение от/ФО,Отклонение от/РФ,Ранг по/ФО,Ранг по/РФ
Российская  Федерация,"65,80","0,70","101,1%",,,,
Дальневосточный федеральный округ,"61,60","1,70","102,8%",,"-4,20",,8
Амурская область,"59,30","9,30","118,6%","-2,30","-6,50",5,64
Еврейская автономная область,"58,90","7,30","114,1%","-2,70","-6,90",6,66
Забайкальский край,"54,80","2,30","104,4%","-6,80","-11,00",9,78
Камчатская область,,,,,,,
Камчатский край,"65,40","-2,10","96,9%","3,80","-0,40",2,32
Корякский автономный округ,,,,,,,
Магаданская область,"49,40","-8,30","85,6%","-12,20","-16,40",10,85
Приморский край,"69,50","-1,20","98,3%","7,90","3,70",1,12
Республика Бурятия,"61,90","-6,80","90,1%","0,30","-3,90",4,56
Республика Саха (Якутия),"56,70","4,40","108,4%","-4,90","-9,10",8,75
Сахалинская область,"57,20","0,30","100,5%","-4,40","-8,60",7,74
Хабаровский край,"63,50","1,50","102,4%","1,90","-2,30",3,45
Чукотский автономный округ,"47,10","13,30","139,3%","-14,50","-18,70",11,87
Приволжский федеральный округ,"67,80","0,80","101,2%",,"2,00",,2
Кировская область,"68,50","-0,20","99,7%","0,70","2,70",5,16
Коми-Пермяцкий автономный округ,,,,,,,
Нижегородская область,"66,40","4,20","106,8%","-1,40","0,60",9,28
Оренбургская область,"58,30","-4,40","93,0%","-9,50","-7,50",14,68
Пензенская область,"65,20","6,20","110,5%","-2,60","-0,60",10,34
Пермская область,,,,,,,
Пермский край,"64,10","-2,50","96,2%","-3,70","-1,70",11,40
Республика Башкортостан,"72,90","-1,80","97,6%","5,10","7,10",2,7
Республика Марий Эл,"61,10","-1,70","97,3%","-6,70","-4,70",13,59
Республика Мордовия,"69,00","2,40","103,6%","1,20","3,20",4,15
Республика Татарстан (Татарстан),"73,60","-0,20","99,7%","5,80","7,80",1,3
Самарская область,"67,20","1,80","102,8%","-0,60","1,40",6,22
Саратовская область,"70,50","4,30","106,5%","2,70","4,70",3,11
Удмуртская республика,"66,90","3,20","105,0%","-0,90","1,10",7,24
Ульяновская область,"66,60","1,30","102,0%","-1,20","0,80",8,27
Чувашская Республика-Чувашия,"63,50","-0,60","99,1%","-4,30","-2,30",12,45
Северо-Западный федеральный округ,"66,40","0,70","101,1%",,"0,60",,4
Архангельская область,"62,10","4,20","107,3%","-4,30","-3,70",6,55
Архангельская область без авт. округа,"63,10","3,00","105,0%","-3,30","-2,70",4,48
Вологодская область,"63,70","-3,30","95,1%","-2,70","-2,10",3,42
г. Санкт-Петербург,"73,00","-0,60","99,2%","6,60","7,20",1,5
Калининградская область,"58,20","-2,60","95,7%","-8,20","-7,60",8,69
Ленинградская область,"66,90","2,10","103,2%","0,50","1,10",2,24
Мурманская область,"57,70","1,10","101,9%","-8,70","-8,10",9,73
Ненецкий автономный округ,"53,80","12,90","131,5%","-12,60","-12,00",11,81
Новгородская область,"54,30","3,50","106,9%","-12,10","-11,50",10,80
Псковская область,"58,50","7,30","114,3%","-7,90","-7,30",7,67
Республика Карелия,"50,00","-2,50","95,2%","-16,40","-15,80",12,84
Республика Коми,"62,80","-0,50","99,2%","-3,60","-3,00",5,51
Северо-Кавказский федеральный округ,"69,90","3,60","105,4%",,"4,10",,1
Кабардино-Балкарская Республика,"59,20","5,40","110,0%","-10,70","-6,60",6,65
Карачаево-Черкесская Республика,"68,00","3,20","104,9%","-1,90","2,20",4,18
Республика Дагестан,"81,90","2,80","103,5%","12,00","16,10",1,1
Республика Ингушетия,"63,60","8,00","114,4%","-6,30","-2,20",5,44
Республика Северная Осетия-Алания,"48,50","-4,80","91,0%","-21,40","-17,30",7,86
Ставропольский край,"70,70","3,70","105,5%","0,80","4,90",3,9
Чеченская республика,"76,00","11,00","116,9%","6,10","10,20",2,2
Сибирский федеральный округ,"63,60","1,30","102,1%",,"-2,20",,6
Агинский-Бурятский автономный округ,,,,,,,
Алтайский край,"66,30","1,80","102,8%","2,70","0,50",3,29
Иркутская область,"63,50","1,80","102,9%","-0,10","-2,30",7,45
Кемеровская область,"58,20","0,30","100,5%","-5,40","-7,60",10,69
Красноярский край,"63,70","1,30","102,1%","0,10","-2,10",6,42
Новосибирская область,"64,70","0,90","101,4%","1,10","-1,10",4,36
Омская область,"68,50","2,70","104,1%","4,90","2,70",1,16
