Территория,Значение (январь-март 2017г),к АППГ (январь-март 2016г)/отклонение,к АППГ (январь-март 2016г)/темп роста,Отклонение от/ФО,Отклонение от/РФ,Ранг по/ФО,Ранг по/РФ
Российская  Федерация,"108,10","8,70","108,8%",,,,
Дальневосточный федеральный округ,"112,70","13,90","114,1%",,"4,60",,3
Амурская область,"158,30","69,80","178,9%","45,60","50,20",1,5
Еврейская автономная область,"63,40","-117,10","35,1%","-49,30","-44,70",11,81
Забайкальский край,"94,60","-15,50","85,9%","-18,10","-13,50",9,60
Камчатская область,,,,,,,
Камчатский край,"139,50","37,10","136,2%","26,80","31,40",2,7
Корякский автономный округ,,,,,,,
Магаданская область,"137,00","23,20","120,4%","24,30","28,90",3,8
Приморский край,"87,70","-15,30","85,1%","-25,00","-20,40",10,68
Республика Бурятия,"112,40","8,60","108,3%","-0,30","4,30",7,29
Республика Саха (Якутия),"119,50","28,40","131,2%","6,80","11,40",5,20
Сахалинская область,"119,30","74,40","265,7%","6,60","11,20",6,21
Хабаровский край,"100,80","-22,90","81,5%","-11,90","-7,30",8,47
Чукотский автономный округ,"121,30","31,30","134,8%","8,60","13,20",4,17
Приволжский федеральный округ,"117,20","19,90","120,5%",,"9,10",,1
Кировская область,"102,70","-6,70","93,9%","-14,50","-5,40",10,42
Коми-Пермяцкий автономный округ,,,,,,,
Нижегородская область,"109,50","38,20","153,6%","-7,70","1,40",6,34
Оренбургская область,"130,10","42,10","147,8%","12,90","22,00",3,12
Пензенская область,"71,30","-79,30","47,3%","-45,90","-36,80",13,76
Пермская область,,,,,,,
Пермский край,"98,90","-1,80","98,2%","-18,30","-9,20",12,51
Республика Башкортостан,"109,00","12,00","112,4%","-8,20","0,90",7,35
Республика Марий Эл,"56,20","-48,20","53,8%","-61,00","-51,90",14,86
Республика Мордовия,"193,60","97,80","202,1%","76,40","85,50",1,2
Республика Татарстан (Татарстан),"106,80","-7,40","93,5%","-10,40","-1,30",8,36
Самарская область,"103,80","21,70","126,4%","-13,40","-4,30",9,38
Саратовская область,"123,20","12,90","111,7%","6,00","15,10",4,15
Удмуртская республика,"160,70","30,90","123,8%","43,50","52,60",2,3
Ульяновская область,"115,20","35,10","143,8%","-2,00","7,10",5,23
Чувашская Республика-Чувашия,"100,20","19,90","124,8%","-17,00","-7,90",11,49
Северо-Западный федеральный округ,"103,00","-1,90","98,2%",,"-5,10",,4
Архангельская область,"67,50","-64,20","51,3%","-35,50","-40,60",11,79
Архангельская область без авт. округа,"67,60","-64,80","51,1%","-35,40","-40,50",10,78
Вологодская область,"99,20","-11,00","90,0%","-3,80","-8,90",6,50
г. Санкт-Петербург,"114,90","20,90","122,2%","11,90","6,80",4,24
Калининградская область,"93,90","10,30","112,3%","-9,10","-14,20",7,61
Ленинградская область,"110,50","-3,40","97,0%","7,50","2,40",5,32
Мурманская область,"87,10","-2,20","97,5%","-15,90","-21,00",9,69
Ненецкий автономный округ,"63,40","-42,20","60,0%","-39,60","-44,70",12,81
Новгородская область,"122,20","22,80","122,9%","19,20","14,10",2,16
Псковская область,"91,90","-27,60","76,9%","-11,10","-16,20",8,63
Республика Карелия,"159,00","66,10","171,2%","56,00","50,90",1,4
Республика Коми,"120,70","16,40","115,7%","17,70","12,60",3,18
Северо-Кавказский федеральный округ,"78,10","-2,70","96,7%",,"-30,00",,8
Кабардино-Балкарская Республика,"255,50","206,90","525,7%","177,40","147,40",1,1
Карачаево-Черкесская Республика,"86,30","15,50","121,9%","8,20","-21,80",4,70
Республика Дагестан,"83,40","4,10","105,2%","5,30","-24,70",5,71
Республика Ингушетия,"59,60","-74,10","44,6%","-18,50","-48,50",7,85
Республика Северная Осетия-Алания,"101,60","18,40","122,1%","23,50","-6,50",2,45
Ставропольский край,"71,20","-15,80","81,8%","-6,90","-36,90",6,77
Чеченская республика,"95,40","21,90","129,8%","17,30","-12,70",3,58
Сибирский федеральный округ,"98,60","-3,00","97,0%",,"-9,50",,6
Агинский-Бурятский автономный округ,,,,,,,
Алтайский край,"98,10","-18,10","84,4%","-0,50","-10,00",6,54
Иркутская область,"92,40","-24,90","78,8%","-6,20","-15,70",8,62
Кемеровская область,"97,50","-11,10","89,8%","-1,10","-10,60",7,57
Красноярский край,"103,40","30,20","141,3%","4,80","-4,70",4,40
Новосибирская область,"80,20","-46,80","63,1%","-18,40","-27,90",9,73
Омская область,"113,10","32,40","140,1%","14,50","5,00",2,28
Республика Алтай,"75,40","-29,40","71,9%","-23,20","-32,70",10,75
Республика Тыва,"105,60","43,60","170,3%","7,00","-2,50",3,37
Республика Хакасия,"101,80","-7,20","93,4%","3,20","-6,30",5,44
Таймырский автономный округ,,,,,,,
Томская область,"131,40","42,90","148,5%","32,80","23,30",1,11
Усть-Ордынский Бурятский автономный округ,,,,,,,
