Территория,Значение (январь-август 2018г),к АППГ (январь-август 2017г)/отклонение,к АППГ (январь-август 2017г)/темп роста,Отклонение от/ФО,Отклонение от/РФ,Ранг по/ФО,Ранг по/РФ
Российская  Федерация,"31 844,00","407,00","101,3%",,,,
Дальневосточный федеральный округ,"37 924,00","1 659,00","104,6%",,"6 080,00",,2
Амурская область,"32 192,00","-1 363,00","95,9%","-5 732,00","348,00",8,19
Еврейская автономная область,"23 064,00","567,00","102,5%","-14 860,00","-8 780,00",11,66
Забайкальский край,"24 067,00","1 860,00","108,4%","-13 857,00","-7 777,00",10,57
Камчатская область,,,,,,,
Камчатский край,"42 372,00","1 438,00","103,5%","4 448,00","10 528,00",4,8
Корякский автономный округ,,,,,,,
Магаданская область,"46 360,00","4 828,00","111,6%","8 436,00","14 516,00",3,6
Приморский край,"35 929,00","3 417,00","110,5%","-1 995,00","4 085,00",7,15
Республика Бурятия,"24 818,00","-1 862,00","93,0%","-13 106,00","-7 026,00",9,51
Республика Саха (Якутия),"38 656,00","1 040,00","102,8%","732,00","6 812,00",6,12
Сахалинская область,"47 567,00","-1 711,00","96,5%","9 643,00","15 723,00",2,5
Хабаровский край,"39 276,00","2 373,00","106,4%","1 352,00","7 432,00",5,10
Чукотский автономный округ,"57 251,00","2 515,00","104,6%","19 327,00","25 407,00",1,3
Приволжский федеральный округ,"26 226,00","78,00","100,3%",,"-5 618,00",,7
Кировская область,"21 848,00","996,00","104,8%","-4 378,00","-9 996,00",9,71
Коми-Пермяцкий автономный округ,,,,,,,
Нижегородская область,"31 840,00","835,00","102,7%","5 614,00","-4,00",2,20
Оренбургская область,"24 054,00","1 453,00","106,4%","-2 172,00","-7 790,00",6,58
Пензенская область,"20 592,00","-918,00","95,7%","-5 634,00","-11 252,00",11,77
Пермская область,,,,,,,
Пермский край,"27 271,00","-1 817,00","93,8%","1 045,00","-4 573,00",4,36
Республика Башкортостан,"28 707,00","-1 158,00","96,1%","2 481,00","-3 137,00",3,30
Республика Марий Эл,"19 073,00","-692,00","96,5%","-7 153,00","-12 771,00",12,81
Республика Мордовия,"17 691,00","-475,00","97,4%","-8 535,00","-14 153,00",14,84
Республика Татарстан (Татарстан),"33 103,00","131,00","100,4%","6 877,00","1 259,00",1,18
Самарская область,"27 004,00","615,00","102,3%","778,00","-4 840,00",5,39
Саратовская область,"20 754,00","648,00","103,2%","-5 472,00","-11 090,00",10,76
Удмуртская республика,"24 000,00","1 155,00","105,1%","-2 226,00","-7 844,00",7,59
Ульяновская область,"22 446,00","650,00","103,0%","-3 780,00","-9 398,00",8,69
Чувашская Республика-Чувашия,"18 481,00","44,00","100,2%","-7 745,00","-13 363,00",13,82
Северо-Западный федеральный округ,"31 673,00","424,00","101,4%",,"-171,00",,4
Архангельская область,"30 795,00","422,00","101,4%","-878,00","-1 049,00",3,21
Архангельская область без авт. округа,"29 387,00","385,00","101,3%","-2 286,00","-2 457,00",4,27
Вологодская область,"25 743,00","-987,00","96,3%","-5 930,00","-6 101,00",10,48
г. Санкт-Петербург,"38 244,00","802,00","102,1%","6 571,00","6 400,00",2,13
Калининградская область,"27 344,00","2 192,00","108,7%","-4 329,00","-4 500,00",7,35
Ленинградская область,"29 272,00","924,00","103,3%","-2 401,00","-2 572,00",5,28
Мурманская область,"28 791,00","-1 833,00","94,0%","-2 882,00","-3 053,00",6,29
Ненецкий автономный округ,"66 340,00","957,00","101,5%","34 667,00","34 496,00",1,1
Новгородская область,"24 979,00","1,00","100,0%","-6 694,00","-6 865,00",11,50
Псковская область,"24 081,00","1 136,00","105,0%","-7 592,00","-7 763,00",12,56
Республика Карелия,"26 802,00","289,00","101,1%","-4 871,00","-5 042,00",8,41
Республика Коми,"26 415,00","-1 890,00","93,3%","-5 258,00","-5 429,00",9,43
Северо-Кавказский федеральный округ,"26 601,00","-588,00","97,8%",,"-5 243,00",,6
Кабардино-Балкарская Республика,"22 629,00","-320,00","98,6%","-3 972,00","-9 215,00",5,68
Карачаево-Черкесская Республика,"17 864,00","-66,00","99,6%","-8 737,00","-13 980,00",6,83
