Территория,Значение (январь-апрель 2017г),к АППГ (январь-апрель 2016г)/отклонение,к АППГ (январь-апрель 2016г)/темп роста,Отклонение от/ФО,Отклонение от/РФ,Ранг по/ФО,Ранг по/РФ
Российская  Федерация,"30 522,00","-834,00","97,3%",,,,
Дальневосточный федеральный округ,"36 010,00","-2 595,00","93,3%",,"5 488,00",,2
Амурская область,"30 019,00","-1 529,00","95,2%","-5 991,00","-503,00",8,22
Еврейская автономная область,"21 649,00","-2 762,00","88,7%","-14 361,00","-8 873,00",11,67
Забайкальский край,"21 877,00","-2 442,00","90,0%","-14 133,00","-8 645,00",10,64
Камчатская область,,,,,,,
Камчатский край,"39 119,00","-5 312,00","88,0%","3 109,00","8 597,00",4,12
Корякский автономный округ,,,,,,,
Магаданская область,"45 647,00","-5 545,00","89,2%","9 637,00","15 125,00",2,5
Приморский край,"34 923,00","-384,00","98,9%","-1 087,00","4 401,00",7,15
Республика Бурятия,"22 234,00","-3 256,00","87,2%","-13 776,00","-8 288,00",9,61
Республика Саха (Якутия),"35 940,00","-3 734,00","90,6%","-70,00","5 418,00",6,14
Сахалинская область,"45 387,00","-5 876,00","88,5%","9 377,00","14 865,00",3,6
Хабаровский край,"36 659,00","-3 434,00","91,4%","649,00","6 137,00",5,13
Чукотский автономный округ,"66 134,00","-3 166,00","95,4%","30 124,00","35 612,00",1,2
Приволжский федеральный округ,"24 538,00","-1 119,00","95,6%",,"-5 984,00",,6
Кировская область,"20 450,00","-563,00","97,3%","-4 088,00","-10 072,00",10,72
Коми-Пермяцкий автономный округ,,,,,,,
Нижегородская область,"30 159,00","-2 097,00","93,5%","5 621,00","-363,00",2,21
Оренбургская область,"22 852,00","-257,00","98,9%","-1 686,00","-7 670,00",7,56
Пензенская область,"22 054,00","-836,00","96,3%","-2 484,00","-8 468,00",9,63
Пермская область,,,,,,,
Пермский край,"26 222,00","-2 668,00","90,8%","1 684,00","-4 300,00",3,33
Республика Башкортостан,"23 837,00","-1 106,00","95,6%","-701,00","-6 685,00",5,50
Республика Марий Эл,"17 230,00","464,00","102,8%","-7 308,00","-13 292,00",14,84
Республика Мордовия,"18 442,00","1 247,00","107,3%","-6 096,00","-12 080,00",11,79
Республика Татарстан (Татарстан),"31 066,00","-2 523,00","92,5%","6 528,00","544,00",1,18
Самарская область,"26 027,00","-126,00","99,5%","1 489,00","-4 495,00",4,34
Саратовская область,"18 417,00","-943,00","95,1%","-6 121,00","-12 105,00",12,80
Удмуртская республика,"23 668,00","-1 228,00","95,1%","-870,00","-6 854,00",6,51
Ульяновская область,"22 425,00","-108,00","99,5%","-2 113,00","-8 097,00",8,59
Чувашская Республика-Чувашия,"17 309,00","463,00","102,7%","-7 229,00","-13 213,00",13,83
Северо-Западный федеральный округ,"34 150,00","-1 091,00","96,9%",,"3 628,00",,3
Архангельская область,"32 089,00","-34,00","99,9%","-2 061,00","1 567,00",4,17
Архангельская область без авт. округа,"30 449,00","-84,00","99,7%","-3 701,00","-73,00",5,20
Вологодская область,"25 812,00","-2 109,00","92,4%","-8 338,00","-4 710,00",9,36
г. Санкт-Петербург,"44 187,00","648,00","101,5%","10 037,00","13 665,00",2,8
Калининградская область,"25 893,00","-1 069,00","96,0%","-8 257,00","-4 629,00",8,35
Ленинградская область,"27 295,00","-1 835,00","93,7%","-6 855,00","-3 227,00",7,30
Мурманская область,"39 310,00","-3 465,00","91,9%","5 160,00","8 788,00",3,11
Ненецкий автономный округ,"73 942,00","817,00","101,1%","39 792,00","43 420,00",1,1
Новгородская область,"24 235,00","-4 627,00","84,0%","-9 915,00","-6 287,00",11,48
Псковская область,"21 679,00","-1 502,00","93,5%","-12 471,00","-8 843,00",12,66
Республика Карелия,"24 514,00","-1 163,00","95,5%","-9 636,00","-6 008,00",10,45
Республика Коми,"29 329,00","-5 855,00","83,4%","-4 821,00","-1 193,00",6,25
Северо-Кавказский федеральный округ,"21 507,00","-136,00","99,4%",,"-9 015,00",,8
Кабардино-Балкарская Республика,"19 769,00","84,00","100,4%","-1 738,00","-10 753,00",5,77
Карачаево-Черкесская Республика,"16 450,00","-1 329,00","92,5%","-5 057,00","-14 072,00",6,85
Республика Дагестан,"22 597,00","902,00","104,2%","1 090,00","-7 925,00",2,58
Республика Ингушетия,"15 417,00","-31,00","99,8%","-6 090,00","-15 105,00",7,86
Республика Северная Осетия-Алания,"21 291,00","-1 998,00","91,4%","-216,00","-9 231,00",4,69
Ставропольский край,"22 071,00","157,00","100,7%","564,00","-8 451,00",3,62
Чеченская республика,"22 948,00","-1 813,00","92,7%","1 441,00","-7 574,00",1,55
Сибирский федеральный округ,"22 755,00","-1 345,00","94,4%",,"-7 767,00",,7
Агинский-Бурятский автономный округ,,,,,,,
Алтайский край,"19 360,00","-1 281,00","93,8%","-3 395,00","-11 162,00",8,78
Иркутская область,"21 567,00","-1 242,00","94,6%","-1 188,00","-8 955,00",5,68
Кемеровская область,"20 316,00","-1 182,00","94,5%","-2 439,00","-10 206,00",7,74
Красноярский край,"27 696,00","-1 081,00","96,2%","4 941,00","-2 826,00",1,29
Новосибирская область,"24 755,00","-331,00","98,7%","2 000,00","-5 767,00",2,42
Омская область,"24 267,00","-2 551,00","90,5%","1 512,00","-6 255,00",3,46
Республика Алтай,"18 051,00","-1 457,00","92,5%","-4 704,00","-12 471,00",9,81
Республика Тыва,"11 963,00","-1 807,00","86,9%","-10 792,00","-18 559,00",10,87
Республика Хакасия,"21 018,00","-1 005,00","95,4%","-1 737,00","-9 504,00",6,70
Таймырский автономный округ,,,,,,,
Томская область,"24 250,00","-471,00","98,1%","1 495,00","-6 272,00",4,47
Усть-Ордынский Бурятский автономный округ,,,,,,,
Читинская область,,,,,,,
Эвенкийский автономный округ,,,,,,,
Уральский федеральный округ,"32 192,00","-2 154,00","93,7%",,"1 670,00",,4
Курганская область,"20 705,00","-675,00","96,8%","-11 487,00","-9 817,00",7,71
Свердловская область,"34 346,00","-1 808,00","95,0%","2 154,00","3 824,00",4,16
Тюменская область,"41 768,00","-3 067,00","93,2%","9 576,00","11 246,00",3,9
Тюменская область без авт. округов,"30 841,00","-164,00","99,5%","-1 351,00","319,00",5,19
Ханты-Мансийский автономный округ,"44 974,00","-4 479,00","90,9%","12 782,00","14 452,00",2,7
Челябинская область,"22 323,00","-2 144,00","91,2%","-9 869,00","-8 199,00",6,60
Ямало-Ненецкий автономный округ,"62 046,00","-6 392,00","90,7%","29 854,00","31 524,00",1,4
Центральный федеральный округ,"40 488,00","-131,00","99,7%",,"9 966,00",,1
Белгородская область,"29 591,00","-3 384,00","89,7%","-10 897,00","-931,00",4,24
Брянская область,"25 123,00","-3 053,00","89,2%","-15 365,00","-5 399,00",10,39
Владимирская область,"23 640,00","-666,00","97,3%","-16 848,00","-6 882,00",15,52
Воронежская область,"29 614,00","-1 975,00","93,7%","-10 874,00","-908,00",3,23
г. Москва,"63 768,00","3 775,00","106,3%","23 280,00","33 246,00",1,3
Ивановская область,"23 959,00","-1,00","100,0%","-16 529,00","-6 563,00",14,49
Калужская область,"28 062,00","-967,00","96,7%","-12 426,00","-2 460,00",5,27
Костромская область,"25 315,00","333,00","101,3%","-15 173,00","-5 207,00",9,38
Курская область,"25 587,00","-3 578,00","87,7%","-14 901,00","-4 935,00",8,37
Липецкая область,"27 023,00","-2 766,00","90,7%","-13 465,00","-3 499,00",7,32
Московская область,"39 772,00","-1 718,00","95,9%","-716,00","9 250,00",2,10
Орловская область,"23 118,00","-1 179,00","95,1%","-17 370,00","-7 404,00",17,54
Рязанская область,"23 218,00","-1 845,00","92,6%","-17 270,00","-7 304,00",16,53
Смоленская область,"24 720,00","-879,00","96,6%","-15 768,00","-5 802,00",12,43
Тамбовская область,"22 772,00","-2 897,00","88,7%","-17 716,00","-7 750,00",18,57
Тверская область,"24 997,00","-1 155,00","95,6%","-15 491,00","-5 525,00",11,41
Тульская область,"24 688,00","-3 672,00","87,1%","-15 800,00","-5 834,00",13,44
Ярославская область,"27 145,00","-3 663,00","88,1%","-13 343,00","-3 377,00",6,31
Южный федеральный округ,"25 276,00","-3 009,00","89,4%",,"-5 246,00",,5
Астраханская область,"21 856,00","-2 080,00","91,3%","-3 420,00","-8 666,00",4,65
Волгоградская область,"20 347,00","-2 752,00","88,1%","-4 929,00","-10 175,00",5,73
г. Севастополь,"20 121,00","1 958,00","110,8%","-5 155,00","-10 401,00",6,75
Краснодарский край,"28 907,00","-3 015,00","90,6%","3 631,00","-1 615,00",1,26
Республика Адыгея (Адыгея),"25 066,00","526,00","102,1%","-210,00","-5 456,00",3,40
Республика Калмыкия,"17 581,00","600,00","103,5%","-7 695,00","-12 941,00",8,82
Республика Крым,"19 935,00","464,00","102,4%","-5 341,00","-10 587,00",7,76
Ростовская область,"27 736,00","-1 121,00","96,1%","2 460,00","-2 786,00",2,28
