Территория,Значение (январь-декабрь 2017г),к АППГ (январь-декабрь 2016г)/отклонение,к АППГ (январь-декабрь 2016г)/темп роста,Отклонение от/ФО,Отклонение от/РФ,Ранг по/ФО,Ранг по/РФ
Российская  Федерация,"44 756,00","-1 346,00","97,1%",,,,
Дальневосточный федеральный округ,"33 195,00","-20 341,00","62,0%",,"-11 561,00",,8
Амурская область,"40 878,00","-1 527,00","96,4%","7 683,00","-3 878,00",8,25
Еврейская автономная область,"32 670,00","-2 462,00","93,0%","-525,00","-12 086,00",11,56
Забайкальский край,"32 895,00","-516,00","98,5%","-300,00","-11 861,00",10,55
Камчатская область,,,,,,,
Камчатский край,"62 607,00","6 216,00","111,0%","29 412,00","17 851,00",3,8
Корякский автономный округ,,,,,,,
Магаданская область,"70 984,00","9 112,00","114,7%","37 789,00","26 228,00",2,5
Приморский край,"45 600,00","962,00","102,2%","12 405,00","844,00",7,18
Республика Бурятия,"33 124,00","1 317,00","104,1%","-71,00","-11 632,00",9,52
Республика Саха (Якутия),"52 875,00","-11 795,00","81,8%","19 680,00","8 119,00",6,14
Сахалинская область,"62 419,00","-12 633,00","83,2%","29 224,00","17 663,00",4,9
Хабаровский край,"54 238,00","-1 316,00","97,6%","21 043,00","9 482,00",5,13
Чукотский автономный округ,"148 895,00","31 447,00","126,8%","115 700,00","104 139,00",1,1
Приволжский федеральный округ,"34 045,00","-1 546,00","95,7%",,"-10 711,00",,6
Кировская область,"29 896,00","1 190,00","104,1%","-4 149,00","-14 860,00",8,70
Коми-Пермяцкий автономный округ,,,,,,,
Нижегородская область,"39 072,00","-990,00","97,5%","5 027,00","-5 684,00",2,27
Оренбургская область,"27 486,00","-59,00","99,8%","-6 559,00","-17 270,00",10,75
Пензенская область,"28 911,00","-335,00","98,9%","-5 134,00","-15 845,00",9,72
Пермская область,,,,,,,
Пермский край,"38 231,00","-145,00","99,6%","4 186,00","-6 525,00",3,31
Республика Башкортостан,"37 933,00","-1 561,00","96,0%","3 888,00","-6 823,00",4,32
Республика Марий Эл,"23 771,00","-3 376,00","87,6%","-10 274,00","-20 985,00",13,83
Республика Мордовия,"23 688,00","-1 092,00","95,6%","-10 357,00","-21 068,00",14,84
Республика Татарстан (Татарстан),"41 194,00","-9 395,00","81,4%","7 149,00","-3 562,00",1,24
Самарская область,"35 571,00","-586,00","98,4%","1 526,00","-9 185,00",5,38
Саратовская область,"27 242,00","677,00","102,5%","-6 803,00","-17 514,00",11,76
Удмуртская республика,"31 994,00","2 075,00","106,9%","-2 051,00","-12 762,00",6,62
Ульяновская область,"31 283,00","916,00","103,0%","-2 762,00","-13 473,00",7,65
Чувашская Республика-Чувашия,"24 599,00","-1 331,00","94,9%","-9 446,00","-20 157,00",12,81
Северо-Западный федеральный округ,"49 965,00","-1 637,00","96,8%",,"5 209,00",,2
Архангельская область,"43 306,00","16,00","100,0%","-6 659,00","-1 450,00",5,20
Архангельская область без авт. округа,"41 517,00","335,00","100,8%","-8 448,00","-3 239,00",6,23
Вологодская область,"32 463,00","-1 426,00","95,8%","-17 502,00","-12 293,00",11,57
г. Санкт-Петербург,"67 127,00","-5 027,00","93,0%","17 162,00","22 371,00",2,6
Калининградская область,"38 594,00","2 650,00","107,4%","-11 371,00","-6 162,00",7,30
Ленинградская область,"35 147,00","-1 382,00","96,2%","-14 818,00","-9 609,00",9,42
Мурманская область,"63 772,00","2 322,00","103,8%","13 807,00","19 016,00",3,7
Ненецкий автономный округ,"88 982,00","-8 660,00","91,1%","39 017,00","44 226,00",1,4
Новгородская область,"34 645,00","1 075,00","103,2%","-15 320,00","-10 111,00",10,44
Псковская область,"32 208,00","1 773,00","105,8%","-17 757,00","-12 548,00",12,58
Республика Карелия,"35 614,00","286,00","100,8%","-14 351,00","-9 142,00",8,36
Республика Коми,"44 007,00","539,00","101,2%","-5 958,00","-749,00",4,19
Северо-Кавказский федеральный округ,"36 192,00","-821,00","97,8%",,"-8 564,00",,5
Кабардино-Балкарская Республика,"28 832,00","-979,00","96,7%","-7 360,00","-15 924,00",5,73
Карачаево-Черкесская Республика,"25 895,00","3 979,00","118,2%","-10 297,00","-18 861,00",6,78
Республика Дагестан,"49 265,00","-2 336,00","95,5%","13 073,00","4 509,00",1,15
Республика Ингушетия,"20 452,00","-2 236,00","90,1%","-15 740,00","-24 304,00",7,86
Республика Северная Осетия-Алания,"33 429,00","-711,00","97,9%","-2 763,00","-11 327,00",2,51
Ставропольский край,"32 125,00","426,00","101,3%","-4 067,00","-12 631,00",3,61
Чеченская республика,"30 756,00","-1 206,00","96,2%","-5 436,00","-14 000,00",4,67
Сибирский федеральный округ,"33 489,00","-220,00","99,3%",,"-11 267,00",,7
Агинский-Бурятский автономный округ,,,,,,,
Алтайский край,"25 642,00","-9 552,00","72,9%","-7 847,00","-19 114,00",8,79
Иркутская область,"31 263,00","1 149,00","103,8%","-2 226,00","-13 493,00",5,66
Кемеровская область,"41 598,00","13 116,00","146,1%","8 109,00","-3 158,00",1,22
Красноярский край,"34 911,00","-5 753,00","85,9%","1 422,00","-9 845,00",3,43
Новосибирская область,"30 384,00","-9 072,00","77,0%","-3 105,00","-14 372,00",6,68
Омская область,"27 986,00","-2 818,00","90,9%","-5 503,00","-16 770,00",7,74
Республика Алтай,"25 032,00","1 549,00","106,6%","-8 457,00","-19 724,00",9,80
Республика Тыва,"34 396,00","10 436,00","143,6%","907,00","-10 360,00",4,47
Республика Хакасия,"22 913,00","-4 640,00","83,2%","-10 576,00","-21 843,00",10,85
Таймырский автономный округ,,,,,,,
Томская область,"35 587,00","1 815,00","105,4%","2 098,00","-9 169,00",2,37
Усть-Ордынский Бурятский автономный округ,,,,,,,
Читинская область,,,,,,,
Эвенкийский автономный округ,,,,,,,
Уральский федеральный округ,"43 938,00","1 273,00","103,0%",,"-818,00",,3
Курганская область,"26 092,00","1 889,00","107,8%","-17 846,00","-18 664,00",7,77
Свердловская область,"48 050,00","3 022,00","106,7%","4 112,00","3 294,00",4,16
Тюменская область,"56 292,00","-491,00","99,1%","12 354,00","11 536,00",2,11
Тюменская область без авт. округов,"41 975,00","64,00","100,2%","-1 963,00","-2 781,00",5,21
Ханты-Мансийский автономный округ,"56 263,00","-1 875,00","96,8%","12 325,00","11 507,00",3,12
Челябинская область,"30 297,00","591,00","102,0%","-13 641,00","-14 459,00",6,69
Ямало-Ненецкий автономный округ,"95 855,00","2 695,00","102,9%","51 917,00","51 099,00",1,2
Центральный федеральный округ,"57 761,00","-746,00","98,7%",,"13 005,00",,1
Белгородская область,"39 720,00","-2 551,00","94,0%","-18 041,00","-5 036,00",3,26
Брянская область,"33 467,00","567,00","101,7%","-24 294,00","-11 289,00",13,50
Владимирская область,"33 070,00","1 452,00","104,6%","-24 691,00","-11 686,00",14,53
Воронежская область,"38 808,00","-2 525,00","93,9%","-18 953,00","-5 948,00",4,29
г. Москва,"92 390,00","-2 212,00","97,7%","34 629,00","47 634,00",1,3
Ивановская область,"32 962,00","-469,00","98,6%","-24 799,00","-11 794,00",15,54
Калужская область,"35 169,00","-3 287,00","91,5%","-22 592,00","-9 587,00",9,41
Костромская область,"31 312,00","570,00","101,9%","-26 449,00","-13 444,00",18,64
Курская область,"34 586,00","-2 920,00","92,2%","-23 175,00","-10 170,00",10,45
Липецкая область,"36 324,00","-2 150,00","94,4%","-21 437,00","-8 432,00",5,34
Московская область,"58 960,00","2 201,00","103,9%","1 199,00","14 204,00",2,10
Орловская область,"32 208,00","714,00","102,3%","-25 553,00","-12 548,00",16,58
Рязанская область,"35 381,00","-173,00","99,5%","-22 380,00","-9 375,00",8,40
Смоленская область,"32 178,00","-522,00","98,4%","-25 583,00","-12 578,00",17,60
Тамбовская область,"36 009,00","-69,00","99,8%","-21 752,00","-8 747,00",6,35
Тверская область,"34 495,00","96,00","100,3%","-23 266,00","-10 261,00",11,46
Тульская область,"34 331,00","-4 597,00","88,2%","-23 430,00","-10 425,00",12,48
Ярославская область,"35 460,00","1 717,00","105,1%","-22 301,00","-9 296,00",7,39
Южный федеральный округ,"37 085,00","-819,00","97,8%",,"-7 671,00",,4
Астраханская область,"31 696,00","1 193,00","103,9%","-5 389,00","-13 060,00",5,63
Волгоградская область,"29 819,00","-504,00","98,3%","-7 266,00","-14 937,00",6,71
г. Севастополь,"36 435,00","7 592,00","126,3%","-650,00","-8 321,00",3,33
Краснодарский край,"45 664,00","-1 739,00","96,3%","8 579,00","908,00",1,17
Республика Адыгея (Адыгея),"33 860,00","1 679,00","105,2%","-3 225,00","-10 896,00",4,49
Республика Калмыкия,"16 876,00","-3 814,00","81,6%","-20 209,00","-27 880,00",8,87
Республика Крым,"24 229,00","-2 034,00","92,3%","-12 856,00","-20 527,00",7,82
Ростовская область,"38 987,00","-765,00","98,1%","1 902,00","-5 769,00",2,28
