Территория,Значение (январь-май 2017г),к АППГ (январь-май 2016г)/отклонение,к АППГ (январь-май 2016г)/темп роста,Отклонение от/ФО,Отклонение от/РФ,Ранг по/ФО,Ранг по/РФ
Российская  Федерация,"29 210,00","1 337,00","104,8%",,,,
Дальневосточный федеральный округ,"37 581,00","3 183,00","109,3%",,"8 371,00",,1
Амурская область,"32 248,00","4 460,00","116,1%","-5 333,00","3 038,00",8,18
Еврейская автономная область,"22 885,00","740,00","103,3%","-14 696,00","-6 325,00",11,57
Забайкальский край,"23 354,00","1 929,00","109,0%","-14 227,00","-5 856,00",9,53
Камчатская область,,,,,,,
Камчатский край,"39 651,00","211,00","100,5%","2 070,00","10 441,00",5,11
Корякский автономный округ,,,,,,,
Магаданская область,"46 651,00","3 140,00","107,2%","9 070,00","17 441,00",3,7
Приморский край,"33 958,00","3 037,00","109,8%","-3 623,00","4 748,00",7,15
Республика Бурятия,"22 902,00","244,00","101,1%","-14 679,00","-6 308,00",10,56
Республика Саха (Якутия),"39 658,00","1 318,00","103,4%","2 077,00","10 448,00",4,10
Сахалинская область,"49 325,00","3 125,00","106,8%","11 744,00","20 115,00",2,5
Хабаровский край,"39 263,00","4 722,00","113,7%","1 682,00","10 053,00",6,12
Чукотский автономный округ,"72 027,00","9 354,00","114,9%","34 446,00","42 817,00",1,1
Приволжский федеральный округ,"24 622,00","431,00","101,8%",,"-4 588,00",,6
Кировская область,"20 694,00","1 976,00","110,6%","-3 928,00","-8 516,00",10,73
Коми-Пермяцкий автономный округ,,,,,,,
Нижегородская область,"29 589,00","1 692,00","106,1%","4 967,00","379,00",2,23
Оренбургская область,"23 027,00","896,00","104,0%","-1 595,00","-6 183,00",7,54
Пензенская область,"20 968,00","-341,00","98,4%","-3 654,00","-8 242,00",9,70
Пермская область,,,,,,,
Пермский край,"26 908,00","-512,00","98,1%","2 286,00","-2 302,00",3,32
Республика Башкортостан,"24 104,00","33,00","100,1%","-518,00","-5 106,00",5,45
Республика Марий Эл,"18 407,00","663,00","103,7%","-6 215,00","-10 803,00",12,80
Республика Мордовия,"18 124,00","3 377,00","122,9%","-6 498,00","-11 086,00",13,82
Республика Татарстан (Татарстан),"31 781,00","320,00","101,0%","7 159,00","2 571,00",1,20
Самарская область,"26 246,00","-1 374,00","95,0%","1 624,00","-2 964,00",4,36
