Территория,Значение (январь-ноябрь 2017г),к АППГ (январь-ноябрь 2016г)/отклонение,к АППГ (январь-ноябрь 2016г)/темп роста,Отклонение от/ФО,Отклонение от/РФ,Ранг по/ФО,Ранг по/РФ
Российская  Федерация,"31 591,00","905,00","102,9%",,,,
Дальневосточный федеральный округ,"37 045,00","507,00","101,4%",,"5 454,00",,2
Амурская область,"32 834,00","4 405,00","115,5%","-4 211,00","1 243,00",8,18
Еврейская автономная область,"22 827,00","432,00","101,9%","-14 218,00","-8 764,00",11,65
Забайкальский край,"23 168,00","1 360,00","106,2%","-13 877,00","-8 423,00",10,61
Камчатская область,,,,,,,
Камчатский край,"39 143,00","3 417,00","109,6%","2 098,00","7 552,00",5,12
Корякский автономный округ,,,,,,,
Магаданская область,"54 518,00","3 204,00","106,2%","17 473,00","22 927,00",2,5
Приморский край,"33 844,00","828,00","102,5%","-3 201,00","2 253,00",7,17
Республика Бурятия,"24 323,00","-546,00","97,8%","-12 722,00","-7 268,00",9,54
Республика Саха (Якутия),"41 553,00","-883,00","97,9%","4 508,00","9 962,00",4,8
Сахалинская область,"47 620,00","-1 064,00","97,8%","10 575,00","16 029,00",3,6
Хабаровский край,"35 763,00","-1 464,00","96,1%","-1 282,00","4 172,00",6,15
Чукотский автономный округ,"54 710,00","-7 134,00","88,5%","17 665,00","23 119,00",1,4
Приволжский федеральный округ,"26 072,00","-111,00","99,6%",,"-5 519,00",,7
Кировская область,"20 511,00","424,00","102,1%","-5 561,00","-11 080,00",10,75
Коми-Пермяцкий автономный округ,,,,,,,
Нижегородская область,"29 545,00","438,00","101,5%","3 473,00","-2 046,00",3,27
Оренбургская область,"22 971,00","197,00","100,9%","-3 101,00","-8 620,00",8,64
Пензенская область,"22 073,00","-62,00","99,7%","-3 999,00","-9 518,00",9,71
Пермская область,,,,,,,
Пермский край,"28 303,00","-1 750,00","94,2%","2 231,00","-3 288,00",4,31
Республика Башкортостан,"32 185,00","-281,00","99,1%","6 113,00","594,00",2,20
Республика Марий Эл,"18 745,00","-252,00","98,7%","-7 327,00","-12 846,00",12,80
Республика Мордовия,"17 795,00","169,00","101,0%","-8 277,00","-13 796,00",13,83
Республика Татарстан (Татарстан),"32 279,00","-953,00","97,1%","6 207,00","688,00",1,19
Самарская область,"26 298,00","334,00","101,3%","226,00","-5 293,00",5,42
Саратовская область,"19 434,00","640,00","103,4%","-6 638,00","-12 157,00",11,78
Удмуртская республика,"23 028,00","45,00","100,2%","-3 044,00","-8 563,00",7,63
Ульяновская область,"23 258,00","1 619,00","107,5%","-2 814,00","-8 333,00",6,57
Чувашская Республика-Чувашия,"16 493,00","-853,00","95,1%","-9 579,00","-15 098,00",14,86
Северо-Западный федеральный округ,"33 041,00","1 493,00","104,7%",,"1 450,00",,3
Архангельская область,"31 872,00","1 317,00","104,3%","-1 169,00","281,00",4,22
Архангельская область без авт. округа,"30 542,00","1 308,00","104,5%","-2 499,00","-1 049,00",5,23
Вологодская область,"25 551,00","996,00","104,1%","-7 490,00","-6 040,00",10,46
г. Санкт-Петербург,"41 543,00","2 315,00","105,9%","8 502,00","9 952,00",2,9
Калининградская область,"26 706,00","2 300,00","109,4%","-6 335,00","-4 885,00",8,40
Ленинградская область,"27 164,00","646,00","102,4%","-5 877,00","-4 427,00",7,38
Мурманская область,"36 569,00","2 013,00","105,8%","3 528,00","4 978,00",3,13
Ненецкий автономный округ,"65 821,00","1 193,00","101,8%","32 780,00","34 230,00",1,1
Новгородская область,"24 501,00","-809,00","96,8%","-8 540,00","-7 090,00",11,49
Псковская область,"22 022,00","230,00","101,1%","-11 019,00","-9 569,00",12,72
Республика Карелия,"26 168,00","2 043,00","108,5%","-6 873,00","-5 423,00",9,43
Республика Коми,"28 399,00","-574,00","98,0%","-4 642,00","-3 192,00",6,30
Северо-Кавказский федеральный округ,"26 739,00","411,00","101,6%",,"-4 852,00",,6
Кабардино-Балкарская Республика,"22 653,00","702,00","103,2%","-4 086,00","-8 938,00",4,66
Карачаево-Черкесская Республика,"17 462,00","1 226,00","107,6%","-9 277,00","-14 129,00",6,84
Республика Дагестан,"36 333,00","45,00","100,1%","9 594,00","4 742,00",1,14
Республика Ингушетия,"16 614,00","409,00","102,5%","-10 125,00","-14 977,00",7,85
Республика Северная Осетия-Алания,"22 077,00","214,00","101,0%","-4 662,00","-9 514,00",5,70
Ставропольский край,"23 190,00","458,00","102,0%","-3 549,00","-8 401,00",3,59
Чеченская республика,"24 456,00","667,00","102,8%","-2 283,00","-7 135,00",2,50
Сибирский федеральный округ,"23 536,00","559,00","102,4%",,"-8 055,00",,8
Агинский-Бурятский автономный округ,,,,,,,
Алтайский край,"23 052,00","1 386,00","106,4%","-484,00","-8 539,00",4,62
Иркутская область,"22 214,00","911,00","104,3%","-1 322,00","-9 377,00",5,68
Кемеровская область,"21 816,00","930,00","104,5%","-1 720,00","-9 775,00",7,73
Красноярский край,"27 642,00","825,00","103,1%","4 106,00","-3 949,00",1,35
Новосибирская область,"24 401,00","-949,00","96,3%","865,00","-7 190,00",3,51
Омская область,"25 042,00","1 692,00","107,2%","1 506,00","-6 549,00",2,47
Республика Алтай,"18 153,00","2 644,00","117,0%","-5 383,00","-13 438,00",9,82
Республика Тыва,"13 989,00","-619,00","95,8%","-9 547,00","-17 602,00",10,87
Республика Хакасия,"18 366,00","-1 889,00","90,7%","-5 170,00","-13 225,00",8,81
Таймырский автономный округ,,,,,,,
Томская область,"22 079,00","-577,00","97,5%","-1 457,00","-9 512,00",6,69
Усть-Ордынский Бурятский автономный округ,,,,,,,
Читинская область,,,,,,,
Эвенкийский автономный округ,,,,,,,
Уральский федеральный округ,"32 102,00","1 386,00","104,5%",,"511,00",,4
Курганская область,"20 434,00","1 037,00","105,3%","-11 668,00","-11 157,00",7,76
Свердловская область,"35 154,00","1 655,00","104,9%","3 052,00","3 563,00",4,16
Тюменская область,"39 729,00","1 652,00","104,3%","7 627,00","8 138,00",3,11
Тюменская область без авт. округов,"29 036,00","841,00","103,0%","-3 066,00","-2 555,00",5,28
Ханты-Мансийский автономный округ,"42 986,00","2 610,00","106,5%","10 884,00","11 395,00",2,7
Челябинская область,"23 204,00","745,00","103,3%","-8 898,00","-8 387,00",6,58
Ямало-Ненецкий автономный округ,"59 207,00","1 217,00","102,1%","27 105,00","27 616,00",1,3
Центральный федеральный округ,"39 903,00","1 246,00","103,2%",,"8 312,00",,1
Белгородская область,"29 747,00","198,00","100,7%","-10 156,00","-1 844,00",4,26
Брянская область,"26 332,00","417,00","101,6%","-13 571,00","-5 259,00",11,41
Владимирская область,"23 928,00","526,00","102,2%","-15 975,00","-7 663,00",16,55
Воронежская область,"29 974,00","892,00","103,1%","-9 929,00","-1 617,00",3,25
г. Москва,"59 762,00","2 424,00","104,2%","19 859,00","28 171,00",1,2
Ивановская область,"24 399,00","2 438,00","111,1%","-15 504,00","-7 192,00",14,52
Калужская область,"28 177,00","3,00","100,0%","-11 726,00","-3 414,00",6,32
Костромская область,"23 765,00","1 112,00","104,9%","-16 138,00","-7 826,00",17,56
Курская область,"27 649,00","354,00","101,3%","-12 254,00","-3 942,00",7,34
Липецкая область,"29 001,00","612,00","102,2%","-10 902,00","-2 590,00",5,29
Московская область,"40 895,00","-175,00","99,6%","992,00","9 304,00",2,10
Орловская область,"23 187,00","621,00","102,8%","-16 716,00","-8 404,00",18,60
Рязанская область,"24 960,00","489,00","102,0%","-14 943,00","-6 631,00",13,48
Смоленская область,"24 367,00","408,00","101,7%","-15 536,00","-7 224,00",15,53
