Территория,Значение (январь-октябрь 2017г),к АППГ (январь-октябрь 2016г)/отклонение,к АППГ (январь-октябрь 2016г)/темп роста,Отклонение от/ФО,Отклонение от/РФ,Ранг по/ФО,Ранг по/РФ
Российская  Федерация,"31 512,00","380,00","101,2%",,,,
Дальневосточный федеральный округ,"35 793,00","581,00","101,7%",,"4 281,00",,2
Амурская область,"31 787,00","2 800,00","109,7%","-4 006,00","275,00",7,19
Еврейская автономная область,"21 527,00","-321,00","98,5%","-14 266,00","-9 985,00",11,70
Забайкальский край,"22 632,00","-303,00","98,7%","-13 161,00","-8 880,00",10,63
Камчатская область,,,,,,,
Камчатский край,"43 600,00","6 034,00","116,1%","7 807,00","12 088,00",3,6
Корякский автономный округ,,,,,,,
Магаданская область,"50 780,00","6 024,00","113,5%","14 987,00","19 268,00",2,5
Приморский край,"30 749,00","-1 553,00","95,2%","-5 044,00","-763,00",8,23
Республика Бурятия,"24 554,00","-682,00","97,3%","-11 239,00","-6 958,00",9,52
Республика Саха (Якутия),"41 783,00","2 042,00","105,1%","5 990,00","10 271,00",4,8
Сахалинская область,"40 077,00","-5 311,00","88,3%","4 284,00","8 565,00",5,11
Хабаровский край,"36 997,00","1 168,00","103,3%","1 204,00","5 485,00",6,14
Чукотский автономный округ,"58 955,00","12 181,00","126,0%","23 162,00","27 443,00",1,3
Приволжский федеральный округ,"25 896,00","-340,00","98,7%",,"-5 616,00",,7
Кировская область,"20 644,00","341,00","101,7%","-5 252,00","-10 868,00",10,76
Коми-Пермяцкий автономный округ,,,,,,,
Нижегородская область,"29 326,00","-658,00","97,8%","3 430,00","-2 186,00",3,27
Оренбургская область,"22 726,00","-97,00","99,6%","-3 170,00","-8 786,00",7,62
Пензенская область,"21 751,00","-657,00","97,1%","-4 145,00","-9 761,00",9,67
Пермская область,,,,,,,
Пермский край,"29 023,00","-847,00","97,2%","3 127,00","-2 489,00",4,28
Республика Башкортостан,"31 038,00","-962,00","97,0%","5 142,00","-474,00",2,22
Республика Марий Эл,"18 172,00","-245,00","98,7%","-7 724,00","-13 340,00",12,81
Республика Мордовия,"17 405,00","-414,00","97,7%","-8 491,00","-14 107,00",13,83
Республика Татарстан (Татарстан),"31 979,00","-682,00","97,9%","6 083,00","467,00",1,18
Самарская область,"26 628,00","97,00","100,4%","732,00","-4 884,00",5,42
Саратовская область,"19 607,00","939,00","105,0%","-6 289,00","-11 905,00",11,80
Удмуртская республика,"23 172,00","-179,00","99,2%","-2 724,00","-8 340,00",6,58
Ульяновская область,"21 997,00","-228,00","99,0%","-3 899,00","-9 515,00",8,66
Чувашская Республика-Чувашия,"17 132,00","-229,00","98,7%","-8 764,00","-14 380,00",14,84
Северо-Западный федеральный округ,"31 473,00","-282,00","99,1%",,"-39,00",,4
Архангельская область,"31 454,00","498,00","101,6%","-19,00","-58,00",4,20
Архангельская область без авт. округа,"30 065,00","502,00","101,7%","-1 408,00","-1 447,00",5,26
Вологодская область,"25 971,00","-40,00","99,8%","-5 502,00","-5 541,00",9,45
г. Санкт-Петербург,"38 368,00","-1 215,00","96,9%","6 895,00","6 856,00",2,12
Калининградская область,"25 012,00","1 031,00","104,3%","-6 461,00","-6 500,00",10,48
Ленинградская область,"27 142,00","-418,00","98,5%","-4 331,00","-4 370,00",6,35
Мурманская область,"33 971,00","2 891,00","109,3%","2 498,00","2 459,00",3,15
Ненецкий автономный округ,"66 912,00","32,00","100,0%","35 439,00","35 400,00",1,1
Новгородская область,"24 706,00","-350,00","98,6%","-6 767,00","-6 806,00",11,50
Псковская область,"21 525,00","45,00","100,2%","-9 948,00","-9 987,00",12,71
Республика Карелия,"26 065,00","1 772,00","107,3%","-5 408,00","-5 447,00",8,44
Республика Коми,"27 098,00","-2 180,00","92,6%","-4 375,00","-4 414,00",7,36
Северо-Кавказский федеральный округ,"26 665,00","1 356,00","105,4%",,"-4 847,00",,6
Кабардино-Балкарская Республика,"22 250,00","842,00","103,9%","-4 415,00","-9 262,00",4,65
Карачаево-Черкесская Республика,"17 773,00","367,00","102,1%","-8 892,00","-13 739,00",6,82
Республика Дагестан,"37 549,00","2 947,00","108,5%","10 884,00","6 037,00",1,13
Республика Ингушетия,"16 363,00","1 005,00","106,5%","-10 302,00","-15 149,00",7,85
Республика Северная Осетия-Алания,"22 513,00","601,00","102,7%","-4 152,00","-8 999,00",3,64
Ставропольский край,"23 216,00","1 525,00","107,0%","-3 449,00","-8 296,00",2,57
Чеченская республика,"21 289,00","-1 341,00","94,1%","-5 376,00","-10 223,00",5,74
Сибирский федеральный округ,"23 750,00","495,00","102,1%",,"-7 762,00",,8
Агинский-Бурятский автономный округ,,,,,,,
Алтайский край,"23 499,00","816,00","103,6%","-251,00","-8 013,00",4,56
Иркутская область,"21 576,00","764,00","103,7%","-2 174,00","-9 936,00",6,68
Кемеровская область,"21 039,00","-655,00","97,0%","-2 711,00","-10 473,00",8,75
Красноярский край,"28 280,00","1 510,00","105,6%","4 530,00","-3 232,00",1,32
Новосибирская область,"25 440,00","242,00","101,0%","1 690,00","-6 072,00",2,47
Омская область,"24 691,00","421,00","101,7%","941,00","-6 821,00",3,51
Республика Алтай,"19 662,00","2 846,00","116,9%","-4 088,00","-11 850,00",9,79
Республика Тыва,"13 484,00","-801,00","94,4%","-10 266,00","-18 028,00",10,87
Республика Хакасия,"21 571,00","1 683,00","108,5%","-2 179,00","-9 941,00",7,69
Таймырский автономный округ,,,,,,,
Томская область,"23 129,00","1 293,00","105,9%","-621,00","-8 383,00",5,60
Усть-Ордынский Бурятский автономный округ,,,,,,,
Читинская область,,,,,,,
Эвенкийский автономный округ,,,,,,,
Уральский федеральный округ,"31 743,00","672,00","102,2%",,"231,00",,3
Курганская область,"20 361,00","1 166,00","106,1%","-11 382,00","-11 151,00",7,77
Свердловская область,"33 297,00","-159,00","99,5%","1 554,00","1 785,00",4,17
Тюменская область,"40 770,00","1 753,00","104,5%","9 027,00","9 258,00",3,10
Тюменская область без авт. округов,"31 119,00","527,00","101,7%","-624,00","-393,00",5,21
Ханты-Мансийский автономный округ,"43 541,00","2 793,00","106,9%","11 798,00","12 029,00",2,7
Челябинская область,"23 166,00","328,00","101,4%","-8 577,00","-8 346,00",6,59
Ямало-Ненецкий автономный округ,"58 868,00","2 179,00","103,8%","27 125,00","27 356,00",1,4
Центральный федеральный округ,"39 978,00","1 579,00","104,1%",,"8 466,00",,1
Белгородская область,"30 746,00","1 517,00","105,2%","-9 232,00","-766,00",3,24
Брянская область,"26 991,00","798,00","103,0%","-12 987,00","-4 521,00",10,39
Владимирская область,"23 052,00","-53,00","99,8%","-16 926,00","-8 460,00",18,61
Воронежская область,"28 702,00","-405,00","98,6%","-11 276,00","-2 810,00",4,29
г. Москва,"59 986,00","4 081,00","107,3%","20 008,00","28 474,00",1,2
Ивановская область,"24 387,00","1 756,00","107,8%","-15 591,00","-7 125,00",15,53
Калужская область,"28 533,00","2 062,00","107,8%","-11 445,00","-2 979,00",5,30
Костромская область,"24 336,00","302,00","101,3%","-15 642,00","-7 176,00",16,54
Курская область,"28 061,00","487,00","101,8%","-11 917,00","-3 451,00",7,33
Липецкая область,"28 459,00","666,00","102,4%","-11 519,00","-3 053,00",6,31
Московская область,"40 787,00","-1 087,00","97,4%","809,00","9 275,00",2,9
Орловская область,"23 675,00","222,00","100,9%","-16 303,00","-7 837,00",17,55
Рязанская область,"25 547,00","1 954,00","108,3%","-14 431,00","-5 965,00",13,46
Смоленская область,"24 958,00","2 448,00","110,9%","-15 020,00","-6 554,00",14,49
Тамбовская область,"27 459,00","658,00","102,5%","-12 519,00","-4 053,00",8,34
Тверская область,"26 681,00","3 010,00","112,7%","-13 297,00","-4 831,00",12,41
Тульская область,"26 859,00","73,00","100,3%","-13 119,00","-4 653,00",11,40
Ярославская область,"27 032,00","265,00","101,0%","-12 946,00","-4 480,00",9,38
Южный федеральный округ,"27 129,00","1 437,00","105,6%",,"-4 383,00",,5
Астраханская область,"21 519,00","-38,00","99,8%","-5 610,00","-9 993,00",5,72
Волгоградская область,"21 431,00","-130,00","99,4%","-5 698,00","-10 081,00",6,73
г. Севастополь,"30 437,00","11 840,00","163,7%","3 308,00","-1 075,00",2,25
Краснодарский край,"33 692,00","2 422,00","107,7%","6 563,00","2 180,00",1,16
Республика Адыгея (Адыгея),"26 090,00","1 374,00","105,6%","-1 039,00","-5 422,00",4,43
Республика Калмыкия,"14 970,00","-196,00","98,7%","-12 159,00","-16 542,00",8,86
Республика Крым,"19 947,00","2 190,00","112,3%","-7 182,00","-11 565,00",7,78
Ростовская область,"27 074,00","98,00","100,4%","-55,00","-4 438,00",3,37
