Территория,Значение (январь-сентябрь 2017г),к АППГ (январь-сентябрь 2016г)/отклонение,к АППГ (январь-сентябрь 2016г)/темп роста,Отклонение от/ФО,Отклонение от/РФ,Ранг по/ФО,Ранг по/РФ
Российская  Федерация,"31 573,00","1 064,00","103,5%",,,,
Дальневосточный федеральный округ,"35 920,00","-11,00","100,0%",,"4 347,00",,2
Амурская область,"31 257,00","2 530,00","108,8%","-4 663,00","-316,00",8,22
Еврейская автономная область,"21 878,00","-1 071,00","95,3%","-14 042,00","-9 695,00",11,67
Забайкальский край,"22 559,00","333,00","101,5%","-13 361,00","-9 014,00",10,62
Камчатская область,,,,,,,
Камчатский край,"42 222,00","3 396,00","108,7%","6 302,00","10 649,00",4,7
Корякский автономный округ,,,,,,,
Магаданская область,"45 696,00","480,00","101,1%","9 776,00","14 123,00",3,6
Приморский край,"32 522,00","-655,00","98,0%","-3 398,00","949,00",7,18
Республика Бурятия,"24 554,00","-1 666,00","93,6%","-11 366,00","-7 019,00",9,51
Республика Саха (Якутия),"39 219,00","365,00","100,9%","3 299,00","7 646,00",5,11
Сахалинская область,"48 200,00","-1 035,00","97,9%","12 280,00","16 627,00",2,5
Хабаровский край,"35 295,00","-1 841,00","95,0%","-625,00","3 722,00",6,15
Чукотский автономный округ,"52 878,00","14 855,00","139,1%","16 958,00","21 305,00",1,4
Приволжский федеральный округ,"26 071,00","225,00","100,9%",,"-5 502,00",,7
Кировская область,"20 822,00","-75,00","99,6%","-5 249,00","-10 751,00",10,76
Коми-Пермяцкий автономный округ,,,,,,,
Нижегородская область,"29 751,00","1 301,00","104,6%","3 680,00","-1 822,00",4,25
Оренбургская область,"24 348,00","2 525,00","111,6%","-1 723,00","-7 225,00",6,52
Пензенская область,"21 721,00","660,00","103,1%","-4 350,00","-9 852,00",9,69
Пермская область,,,,,,,
Пермский край,"29 754,00","883,00","103,1%","3 683,00","-1 819,00",3,24
Республика Башкортостан,"32 007,00","329,00","101,0%","5 936,00","434,00",2,20
Республика Марий Эл,"19 167,00","1 111,00","106,2%","-6 904,00","-12 406,00",12,80
Республика Мордовия,"16 776,00","-1 163,00","93,5%","-9 295,00","-14 797,00",14,84
Республика Татарстан (Татарстан),"32 100,00","-1 174,00","96,5%","6 029,00","527,00",1,19
Самарская область,"24 674,00","-1 291,00","95,0%","-1 397,00","-6 899,00",5,50
Саратовская область,"19 259,00","-91,00","99,5%","-6 812,00","-12 314,00",11,79
Удмуртская республика,"23 962,00","525,00","102,2%","-2 109,00","-7 611,00",7,56
Ульяновская область,"22 175,00","1 740,00","108,5%","-3 896,00","-9 398,00",8,64
Чувашская Республика-Чувашия,"16 784,00","-906,00","94,9%","-9 287,00","-14 789,00",13,83
Северо-Западный федеральный округ,"31 881,00","213,00","100,7%",,"308,00",,3
Архангельская область,"30 389,00","-1 710,00","94,7%","-1 492,00","-1 184,00",4,23
Архангельская область без авт. округа,"28 956,00","-1 610,00","94,7%","-2 925,00","-2 617,00",5,28
Вологодская область,"27 324,00","-1 199,00","95,8%","-4 557,00","-4 249,00",6,35
г. Санкт-Петербург,"39 267,00","1 185,00","103,1%","7 386,00","7 694,00",2,10
Калининградская область,"26 171,00","1 520,00","106,2%","-5 710,00","-5 402,00",10,42
Ленинградская область,"27 179,00","-602,00","97,8%","-4 702,00","-4 394,00",7,36
Мурманская область,"33 123,00","1 717,00","105,5%","1 242,00","1 550,00",3,17
Ненецкий автономный округ,"66 996,00","-4 610,00","93,6%","35 115,00","35 423,00",1,1
Новгородская область,"25 107,00","641,00","102,6%","-6 774,00","-6 466,00",11,48
Псковская область,"21 692,00","-211,00","99,0%","-10 189,00","-9 881,00",12,70
Республика Карелия,"26 533,00","820,00","103,2%","-5 348,00","-5 040,00",8,38
Республика Коми,"26 336,00","-3 200,00","89,2%","-5 545,00","-5 237,00",9,40
Северо-Кавказский федеральный округ,"26 096,00","76,00","100,3%",,"-5 477,00",,6
Кабардино-Балкарская Республика,"21 229,00","-259,00","98,8%","-4 867,00","-10 344,00",5,73
Карачаево-Черкесская Республика,"17 241,00","867,00","105,3%","-8 855,00","-14 332,00",6,82
Республика Дагестан,"36 213,00","2 300,00","106,8%","10 117,00","4 640,00",1,14
Республика Ингушетия,"16 167,00","361,00","102,3%","-9 929,00","-15 406,00",7,85
Республика Северная Осетия-Алания,"22 551,00","464,00","102,1%","-3 545,00","-9 022,00",3,63
Ставропольский край,"23 108,00","-1 431,00","94,2%","-2 988,00","-8 465,00",2,60
Чеченская республика,"21 297,00","-2 118,00","91,0%","-4 799,00","-10 276,00",4,72
Сибирский федеральный округ,"23 051,00","-97,00","99,6%",,"-8 522,00",,8
Агинский-Бурятский автономный округ,,,,,,,
Алтайский край,"22 092,00","344,00","101,6%","-959,00","-9 481,00",5,65
Иркутская область,"20 926,00","-83,00","99,6%","-2 125,00","-10 647,00",7,75
Кемеровская область,"21 324,00","615,00","103,0%","-1 727,00","-10 249,00",6,71
Красноярский край,"25 237,00","-1 148,00","95,6%","2 186,00","-6 336,00",2,46
Новосибирская область,"25 517,00","-123,00","99,5%","2 466,00","-6 056,00",1,44
Омская область,"25 120,00","373,00","101,5%","2 069,00","-6 453,00",3,47
Республика Алтай,"18 593,00","2 770,00","117,5%","-4 458,00","-12 980,00",9,81
Республика Тыва,"13 623,00","-1 729,00","88,7%","-9 428,00","-17 950,00",10,87
Республика Хакасия,"19 737,00","-276,00","98,6%","-3 314,00","-11 836,00",8,78
Таймырский автономный округ,,,,,,,
Томская область,"22 727,00","48,00","100,2%","-324,00","-8 846,00",4,61
Усть-Ордынский Бурятский автономный округ,,,,,,,
Читинская область,,,,,,,
Эвенкийский автономный округ,,,,,,,
Уральский федеральный округ,"31 000,00","-563,00","98,2%",,"-573,00",,4
Курганская область,"19 831,00","267,00","101,4%","-11 169,00","-11 742,00",7,77
Свердловская область,"34 143,00","-1 963,00","94,6%","3 143,00","2 570,00",4,16
Тюменская область,"37 210,00","-450,00","98,8%","6 210,00","5 637,00",3,12
Тюменская область без авт. округов,"28 432,00","61,00","100,2%","-2 568,00","-3 141,00",5,30
Ханты-Мансийский автономный округ,"39 321,00","-289,00","99,3%","8 321,00","7 748,00",2,9
Челябинская область,"23 350,00","747,00","103,3%","-7 650,00","-8 223,00",6,59
Ямало-Ненецкий автономный округ,"54 929,00","-2 089,00","96,3%","23 929,00","23 356,00",1,3
Центральный федеральный округ,"39 463,00","1 189,00","103,1%",,"7 890,00",,1
Белгородская область,"29 261,00","300,00","101,0%","-10 202,00","-2 312,00",3,26
Брянская область,"28 325,00","2 035,00","107,7%","-11 138,00","-3 248,00",5,31
Владимирская область,"24 198,00","454,00","101,9%","-15 265,00","-7 375,00",14,53
Воронежская область,"28 962,00","-338,00","98,8%","-10 501,00","-2 611,00",4,27
г. Москва,"58 929,00","2 822,00","105,0%","19 466,00","27 356,00",1,2
Ивановская область,"24 145,00","551,00","102,3%","-15 318,00","-7 428,00",16,55
Калужская область,"26 533,00","-702,00","97,4%","-12 930,00","-5 040,00",10,38
Костромская область,"23 645,00","-362,00","98,5%","-15 818,00","-7 928,00",17,57
Курская область,"26 860,00","-657,00","97,6%","-12 603,00","-4 713,00",9,37
Липецкая область,"28 319,00","-331,00","98,8%","-11 144,00","-3 254,00",6,32
Московская область,"40 600,00","837,00","102,1%","1 137,00","9 027,00",2,8
Орловская область,"23 588,00","93,00","100,4%","-15 875,00","-7 985,00",18,58
Рязанская область,"25 801,00","2 261,00","109,6%","-13 662,00","-5 772,00",12,43
Смоленская область,"24 193,00","1 412,00","106,2%","-15 270,00","-7 380,00",15,54
Тамбовская область,"26 251,00","-710,00","97,4%","-13 212,00","-5 322,00",11,41
Тверская область,"24 745,00","814,00","103,4%","-14 718,00","-6 828,00",13,49
Тульская область,"27 359,00","357,00","101,3%","-12 104,00","-4 214,00",8,34
