Территория,Значение (январь-август 2018г),к АППГ (январь-август 2017г)/отклонение,к АППГ (январь-август 2017г)/темп роста,Отклонение от/ФО,Отклонение от/РФ,Ранг по/ФО,Ранг по/РФ
Российская  Федерация,"69,06","-0,19","99,7%",,,,
Дальневосточный федеральный округ,"70,71","0,28","100,4%",,"1,64",,2
Амурская область,"68,15","-0,13","99,8%","-2,55","-0,91",8,43
Еврейская автономная область,"64,91","-3,04","95,5%","-5,80","-4,16",11,76
Забайкальский край,"67,06","-0,17","99,7%","-3,65","-2,00",9,54
Камчатская область,,,,,,,
Камчатский край,"73,20","0,58","100,8%","2,50","4,14",4,9
Корякский автономный округ,,,,,,,
Магаданская область,"76,86","-6,21","92,5%","6,16","7,80",2,3
Приморский край,"70,23","0,80","101,2%","-0,47","1,17",6,24
Республика Бурятия,"65,38","1,18","101,8%","-5,32","-3,68",10,73
Республика Саха (Якутия),"71,55","0,93","101,3%","0,85","2,49",5,14
Сахалинская область,"74,39","0,70","100,9%","3,68","5,32",3,6
Хабаровский край,"70,03","0,25","100,4%","-0,68","0,97",7,28
Чукотский автономный округ,"79,51","-0,66","99,2%","8,80","10,45",1,1
Приволжский федеральный округ,"68,02","-0,60","99,1%",,"-1,04",,5
Кировская область,"70,64","0,39","100,6%","2,62","1,57",4,22
Коми-Пермяцкий автономный округ,,,,,,,
Нижегородская область,"71,39","-0,38","99,5%","3,37","2,33",1,15
Оренбургская область,"69,53","0,81","101,2%","1,51","0,47",5,31
Пензенская область,"67,69","2,84","104,4%","-0,33","-1,38",7,48
Пермская область,,,,,,,
Пермский край,"64,64","0,25","100,4%","-3,38","-4,42",13,78
Республика Башкортостан,"65,60","-1,99","97,1%","-2,42","-3,47",12,69
Республика Марий Эл,"66,05","-1,71","97,5%","-1,96","-3,01",10,64
Республика Мордовия,"66,67","-4,23","94,0%","-1,35","-2,40",9,60
Республика Татарстан (Татарстан),"70,64","-0,78","98,9%","2,62","1,58",3,21
Самарская область,"70,83","0,21","100,3%","2,81","1,77",2,19
Саратовская область,"63,66","-0,23","99,6%","-4,36","-5,40",14,80
Удмуртская республика,"67,03","-3,83","94,6%","-0,99","-2,03",8,56
Ульяновская область,"65,89","-0,92","98,6%","-2,13","-3,17",11,65
Чувашская Республика-Чувашия,"67,92","-0,70","99,0%","-0,10","-1,15",6,45
Северо-Западный федеральный округ,"70,54","-1,24","98,3%",,"1,48",,3
Архангельская область,"64,95","-4,06","94,1%","-5,59","-4,11",11,75
Архангельская область без авт. округа,"64,74","-4,43","93,6%","-5,81","-4,33",12,77
Вологодская область,"65,44","-2,47","96,4%","-5,11","-3,63",10,72
г. Санкт-Петербург,"74,66","-0,25","99,7%","4,11","5,59",1,5
Калининградская область,"69,09","-0,13","99,8%","-1,45","0,03",5,36
Ленинградская область,"70,04","-2,12","97,1%","-0,50","0,98",4,27
Мурманская область,"71,57","-4,92","93,6%","1,03","2,51",2,13
Ненецкий автономный округ,"70,67","5,61","108,6%","0,13","1,61",3,20
Новгородская область,"68,23","-0,07","99,9%","-2,32","-0,84",7,41
Псковская область,"67,54","0,54","100,8%","-3,00","-1,52",8,51
Республика Карелия,"65,82","-1,55","97,7%","-4,72","-3,24",9,67
Республика Коми,"68,25","-0,18","99,7%","-2,29","-0,81",6,40
Северо-Кавказский федеральный округ,"66,73","1,21","101,9%",,"-2,33",,8
Кабардино-Балкарская Республика,"70,85","1,94","102,8%","4,12","1,79",2,18
Карачаево-Черкесская Республика,"61,84","1,56","102,6%","-4,89","-7,22",7,84
Республика Дагестан,"63,54","0,51","100,8%","-3,19","-5,53",6,81
Республика Ингушетия,"74,13","-3,25","95,8%","7,40","5,07",1,7
Республика Северная Осетия-Алания,"70,19","4,33","106,6%","3,46","1,13",3,25
Ставропольский край,"66,96","2,20","103,4%","0,23","-2,10",5,57
Чеченская республика,"68,15","-0,18","99,7%","1,42","-0,91",4,42
Сибирский федеральный округ,"67,11","-0,19","99,7%",,"-1,95",,6
Агинский-Бурятский автономный округ,,,,,,,
Алтайский край,"66,35","1,85","102,9%","-0,76","-2,71",6,62
Иркутская область,"65,59","-1,33","98,0%","-1,52","-3,47",8,70
Кемеровская область,"65,64","-0,68","99,0%","-1,47","-3,42",7,68
Красноярский край,"69,36","-0,12","99,8%","2,25","0,30",2,34
Новосибирская область,"67,50","-1,09","98,4%","0,39","-1,56",3,52
Омская область,"69,82","-0,54","99,2%","2,71","0,76",1,30
Республика Алтай,"63,38","-2,40","96,4%","-3,73","-5,68",9,82
Республика Тыва,"62,76","-0,28","99,6%","-4,35","-6,30",10,83
Республика Хакасия,"66,72","0,35","100,5%","-0,39","-2,34",5,58
Таймырский автономный округ,,,,,,,
Томская область,"67,37","0,75","101,1%","0,26","-1,69",4,53
Усть-Ордынский Бурятский автономный округ,,,,,,,
Читинская область,,,,,,,
Эвенкийский автономный округ,,,,,,,
Уральский федеральный округ,"69,15","-0,28","99,6%",,"0,09",,4
Курганская область,"60,65","-3,96","93,9%","-8,50","-8,41",7,86
Свердловская область,"67,06","-0,17","99,8%","-2,09","-2,00",5,55
Тюменская область,"70,94","-0,24","99,7%","1,79","1,88",4,17
Тюменская область без авт. округов,"65,88","-0,34","99,5%","-3,27","-3,18",6,66
Ханты-Мансийский автономный округ,"73,38","-0,07","99,9%","4,23","4,32",2,8
Челябинская область,"71,89","0,41","100,6%","2,73","2,82",3,12
Ямало-Ненецкий автономный округ,"77,09","-0,40","99,5%","7,94","8,03",1,2
Центральный федеральный округ,"71,41","0,04","100,1%",,"2,35",,1
Белгородская область,"70,10","-0,12","99,8%","-1,31","1,04",5,26
Брянская область,"67,58","1,67","102,5%","-3,83","-1,48",13,50
Владимирская область,"68,34","-2,49","96,5%","-3,07","-0,73",11,39
Воронежская область,"66,72","-0,14","99,8%","-4,69","-2,34",14,59
г. Москва,"75,59","1,03","101,4%","4,18","6,53",1,4
Ивановская область,"69,21","-1,32","98,1%","-2,20","0,15",9,35
Калужская область,"72,09","1,06","101,5%","0,68","3,02",3,11
Костромская область,"66,48","-1,15","98,3%","-4,93","-2,58",15,61
Курская область,"67,65","-0,21","99,7%","-3,76","-1,42",12,49
Липецкая область,"70,02","-0,90","98,7%","-1,39","0,95",6,29
Московская область,"72,81","-0,13","99,8%","1,40","3,75",2,10
Орловская область,"66,19","0,83","101,3%","-5,22","-2,88",16,63
Рязанская область,"61,43","-2,75","95,7%","-9,98","-7,63",18,85
Смоленская область,"68,69","-2,83","96,0%","-2,72","-0,37",10,37
Тамбовская область,"64,34","-0,45","99,3%","-7,07","-4,72",17,79
Тверская область,"71,19","0,16","100,2%","-0,22","2,13",4,16
Тульская область,"69,45","0,51","100,7%","-1,96","0,39",7,32
Ярославская область,"69,42","-1,58","97,8%","-1,99","0,36",8,33
Южный федеральный округ,"66,87","0,01","100,0%",,"-2,19",,7
Астраханская область,"68,49","-2,63","96,3%","1,62","-0,57",2,38
Волгоградская область,"67,73","0,26","100,4%","0,85","-1,34",5,47
г. Севастополь,"70,30","5,78","109,0%","3,43","1,24",1,23
Краснодарский край,"68,10","1,01","101,5%","1,23","-0,96",3,44
Республика Адыгея (Адыгея),"60,11","-0,06","99,9%","-6,76","-8,95",8,87
Республика Калмыкия,"67,73","-0,45","99,3%","0,86","-1,33",4,46
Республика Крым,"65,00","-0,77","98,8%","-1,87","-4,06",7,74
