Территория,Значение (январь-апрель 2018г),к АППГ (январь-апрель 2017г)/отклонение,к АППГ (январь-апрель 2017г)/темп роста,Отклонение от/ФО,Отклонение от/РФ,Ранг по/ФО,Ранг по/РФ
Российская  Федерация,"68,68","-0,04","99,9%",,,,
Дальневосточный федеральный округ,"70,49","-0,21","99,7%",,"1,81",,3
Амурская область,"66,92","-2,08","97,0%","-3,57","-1,75",9,49
Еврейская автономная область,"65,69","-0,77","98,8%","-4,80","-2,98",10,61
Забайкальский край,"67,17","-0,12","99,8%","-3,32","-1,51",8,47
Камчатская область,,,,,,,
Камчатский край,"72,44","0,26","100,4%","1,95","3,76",4,11
Корякский автономный округ,,,,,,,
Магаданская область,"74,07","-3,03","96,1%","3,58","5,39",2,6
Приморский край,"69,74","0,60","100,9%","-0,75","1,07",7,24
Республика Бурятия,"64,28","4,88","108,2%","-6,21","-4,40",11,74
Республика Саха (Якутия),"70,11","-1,06","98,5%","-0,38","1,43",6,18
Сахалинская область,"73,08","0,27","100,4%","2,59","4,40",3,8
Хабаровский край,"72,34","0,35","100,5%","1,85","3,67",5,12
Чукотский автономный округ,"79,78","0,96","101,2%","9,29","11,10",1,1
Приволжский федеральный округ,"67,15","-1,02","98,5%",,"-1,53",,5
Кировская область,"67,87","-0,50","99,3%","0,72","-0,81",5,40
Коми-Пермяцкий автономный округ,,,,,,,
Нижегородская область,"71,58","-0,33","99,5%","4,43","2,91",1,15
Оренбургская область,"66,47","-0,70","99,0%","-0,68","-2,21",6,53
Пензенская область,"65,69","1,37","102,1%","-1,46","-2,98",9,62
Пермская область,,,,,,,
Пермский край,"64,25","-2,96","95,6%","-2,90","-4,43",12,75
Республика Башкортостан,"65,19","0,40","100,6%","-1,96","-3,49",10,65
Республика Марий Эл,"63,21","-4,91","92,8%","-3,94","-5,46",14,81
Республика Мордовия,"65,87","-3,26","95,3%","-1,28","-2,80",7,59
Республика Татарстан (Татарстан),"69,80","-0,27","99,6%","2,65","1,13",2,23
Самарская область,"69,70","-1,15","98,4%","2,55","1,03",3,26
Саратовская область,"63,29","-1,96","97,0%","-3,86","-5,38",13,79
Удмуртская республика,"69,22","-1,48","97,9%","2,07","0,54",4,31
Ульяновская область,"64,63","-1,48","97,8%","-2,52","-4,05",11,68
Чувашская Республика-Чувашия,"65,71","-2,42","96,4%","-1,44","-2,97",8,60
Северо-Западный федеральный округ,"70,50","-0,73","99,0%",,"1,82",,2
Архангельская область,"66,38","0,24","100,4%","-4,11","-2,29",7,55
Архангельская область без авт. округа,"66,22","0,21","100,3%","-4,27","-2,45",9,57
Вологодская область,"65,62","-0,59","99,1%","-4,87","-3,05",10,63
г. Санкт-Петербург,"74,76","-0,58","99,2%","4,26","6,08",1,5
Калининградская область,"69,91","1,65","102,4%","-0,59","1,23",5,22
Ленинградская область,"69,93","-2,18","97,0%","-0,57","1,25",4,21
Мурманская область,"72,82","-2,23","97,0%","2,32","4,14",2,9
Ненецкий автономный округ,"70,60","0,89","101,3%","0,10","1,92",3,17
Новгородская область,"67,87","-1,56","97,8%","-2,63","-0,81",6,39
Псковская область,"64,29","0,60","100,9%","-6,21","-4,39",12,73
Республика Карелия,"64,65","-1,68","97,5%","-5,85","-4,03",11,67
Республика Коми,"66,35","-1,52","97,8%","-4,15","-2,33",8,56
Северо-Кавказский федеральный округ,"65,78","0,61","100,9%",,"-2,90",,8
Кабардино-Балкарская Республика,"72,04","4,03","105,9%","6,26","3,37",2,13
Карачаево-Черкесская Республика,"63,14","3,73","106,3%","-2,64","-5,54",6,82
Республика Дагестан,"62,99","-0,10","99,8%","-2,79","-5,69",7,83
Республика Ингушетия,"76,90","2,45","103,3%","11,12","8,22",1,3
Республика Северная Осетия-Алания,"67,75","3,11","104,8%","1,96","-0,93",4,43
Ставропольский край,"63,90","-0,78","98,8%","-1,88","-4,78",5,76
Чеченская республика,"68,23","-0,22","99,7%","2,45","-0,44",3,36
Сибирский федеральный округ,"66,55","0,17","100,3%",,"-2,13",,7
Агинский-Бурятский автономный округ,,,,,,,
Алтайский край,"64,46","1,95","103,1%","-2,09","-4,21",8,70
Иркутская область,"65,98","-1,89","97,2%","-0,57","-2,70",5,58
Кемеровская область,"64,50","-1,55","97,7%","-2,05","-4,18",7,69
Красноярский край,"68,52","0,00","100,0%","1,97","-0,16",2,34
Новосибирская область,"68,32","-0,87","98,7%","1,77","-0,35",3,35
