Территория,Значение (январь-июнь 2017г),к АППГ (январь-июнь 2016г)/отклонение,к АППГ (январь-июнь 2016г)/темп роста,Отклонение от/ФО,Отклонение от/РФ,Ранг по/ФО,Ранг по/РФ
Российская  Федерация,"68,84","-0,61","99,1%",,,,
Дальневосточный федеральный округ,"70,68","0,23","100,3%",,"1,84",,3
Амурская область,"68,84","1,41","102,1%","-1,84","-0,01",8,37
Еврейская автономная область,"68,68","-0,23","99,7%","-2,00","-0,17",9,38
Забайкальский край,"67,23","0,41","100,6%","-3,45","-1,61",10,49
Камчатская область,,,,,,,
Камчатский край,"72,26","-0,33","99,5%","1,58","3,42",4,11
Корякский автономный округ,,,,,,,
Магаданская область,"77,81","0,62","100,8%","7,13","8,97",2,2
Приморский край,"69,31","-0,73","99,0%","-1,37","0,46",7,29
Республика Бурятия,"62,69","-1,42","97,8%","-7,99","-6,15",11,83
Республика Саха (Якутия),"70,83","1,99","102,9%","0,15","1,98",6,19
Сахалинская область,"72,53","-0,36","99,5%","1,85","3,69",3,10
Хабаровский край,"71,70","0,17","100,2%","1,02","2,86",5,14
Чукотский автономный округ,"79,63","-2,12","97,4%","8,95","10,78",1,1
Приволжский федеральный округ,"68,14","-1,39","98,0%",,"-0,70",,5
Кировская область,"68,53","-0,20","99,7%","0,39","-0,31",7,39
Коми-Пермяцкий автономный округ,,,,,,,
Нижегородская область,"71,85","0,36","100,5%","3,71","3,01",1,13
Оренбургская область,"68,97","0,19","100,3%","0,82","0,12",6,35
Пензенская область,"66,11","-3,34","95,2%","-2,04","-2,74",10,60
Пермская область,,,,,,,
Пермский край,"64,71","-2,28","96,6%","-3,43","-4,13",13,74
Республика Башкортостан,"65,02","-2,52","96,3%","-3,13","-3,83",12,70
Республика Марий Эл,"67,02","-1,13","98,3%","-1,12","-1,82",9,51
Республика Мордовия,"70,34","-0,47","99,3%","2,20","1,50",5,23
Республика Татарстан (Татарстан),"71,00","-0,70","99,0%","2,86","2,16",2,18
Самарская область,"70,37","-1,32","98,2%","2,23","1,53",4,22
Саратовская область,"64,24","-2,55","96,2%","-3,91","-4,61",14,77
Удмуртская республика,"70,46","-0,98","98,6%","2,31","1,61",3,21
Ульяновская область,"65,79","-1,49","97,8%","-2,35","-3,05",11,66
Чувашская Республика-Чувашия,"68,12","-3,34","95,3%","-0,03","-0,73",8,43
Северо-Западный федеральный округ,"71,28","-0,40","99,4%",,"2,44",,1
Архангельская область,"66,87","-1,83","97,3%","-4,42","-1,98",10,55
Архангельская область без авт. округа,"66,91","-1,57","97,7%","-4,38","-1,94",9,54
Вологодская область,"66,94","-2,38","96,6%","-4,34","-1,90",8,53
г. Санкт-Петербург,"74,71","0,18","100,2%","3,42","5,86",1,6
Калининградская область,"68,11","-1,99","97,2%","-3,18","-0,74",6,44
Ленинградская область,"72,25","2,02","102,9%","0,96","3,40",3,12
Мурманская область,"74,57","-0,34","99,5%","3,29","5,73",2,7
Ненецкий автономный округ,"65,86","-8,70","88,3%","-5,43","-2,99",11,65
Новгородская область,"69,62","-0,30","99,6%","-1,67","0,77",4,26
Псковская область,"64,69","-1,78","97,3%","-6,59","-4,15",12,76
Республика Карелия,"67,58","-1,83","97,4%","-3,70","-1,26",7,46
Республика Коми,"69,25","-0,82","98,8%","-2,04","0,40",5,30
Северо-Кавказский федеральный округ,"65,17","-0,23","99,6%",,"-3,68",,8
Кабардино-Балкарская Республика,"68,93","0,10","100,1%","3,77","0,09",2,36
Карачаево-Черкесская Республика,"60,81","-1,10","98,2%","-4,35","-8,03",7,85
Республика Дагестан,"62,95","0,57","100,9%","-2,21","-5,89",6,82
Республика Ингушетия,"75,24","2,52","103,5%","10,07","6,39",1,4
Республика Северная Осетия-Алания,"64,72","1,75","102,8%","-0,45","-4,12",4,73
Ставропольский край,"64,12","-1,47","97,8%","-1,04","-4,72",5,78
Чеченская республика,"68,49","-1,36","98,1%","3,32","-0,36",3,40
Сибирский федеральный округ,"66,75","-0,87","98,7%",,"-2,09",,6
Агинский-Бурятский автономный округ,,,,,,,
Алтайский край,"63,26","-0,88","98,6%","-3,49","-5,58",9,81
Иркутская область,"67,55","-2,55","96,4%","0,79","-1,30",3,47
Кемеровская область,"65,96","-1,27","98,1%","-0,80","-2,89",6,61
Красноярский край,"69,18","2,07","103,1%","2,42","0,33",2,32
Новосибирская область,"67,40","-1,85","97,3%","0,64","-1,45",4,48
Омская область,"69,65","-1,33","98,1%","2,89","0,80",1,25
Республика Алтай,"65,87","-2,96","95,7%","-0,89","-2,98",8,63
Республика Тыва,"59,34","-1,51","97,5%","-7,41","-9,50",10,87
Республика Хакасия,"65,95","-1,26","98,1%","-0,81","-2,90",7,62
Таймырский автономный округ,,,,,,,
Томская область,"66,75","-0,79","98,8%","0,00","-2,09",5,56
Усть-Ордынский Бурятский автономный округ,,,,,,,
Читинская область,,,,,,,
Эвенкийский автономный округ,,,,,,,
Уральский федеральный округ,"69,14","-0,74","98,9%",,"0,30",,4
Курганская область,"63,95","-0,75","98,8%","-5,19","-4,89",7,79
Свердловская область,"66,73","-1,66","97,6%","-2,41","-2,12",5,57
Тюменская область,"71,14","-0,82","98,9%","2,00","2,30",4,16
Тюменская область без авт. округов,"66,52","-1,01","98,5%","-2,62","-2,32",6,58
Ханты-Мансийский автономный округ,"73,42","-0,84","98,9%","4,27","4,57",2,8
Челябинская область,"71,29","0,45","100,6%","2,15","2,45",3,15
Ямало-Ненецкий автономный округ,"76,48","-0,02","100,0%","7,34","7,64",1,3
Центральный федеральный округ,"71,04","-0,37","99,5%",,"2,20",,2
Белгородская область,"70,19","0,13","100,2%","-0,85","1,35",4,24
Брянская область,"65,86","-0,57","99,1%","-5,18","-2,98",14,64
Владимирская область,"70,54","2,23","103,3%","-0,50","1,69",3,20
Воронежская область,"66,36","0,44","100,7%","-4,68","-2,49",13,59
г. Москва,"74,99","-1,29","98,3%","3,95","6,15",1,5
Ивановская область,"68,33","1,12","101,7%","-2,71","-0,51",11,42
Калужская область,"69,19","-1,22","98,3%","-1,85","0,35",7,31
Костромская область,"65,73","-1,76","97,4%","-5,31","-3,11",15,67
Курская область,"67,86","0,11","100,2%","-3,18","-0,98",12,45
