Территория,Значение (январь-май 2018г),к АППГ (январь-май 2017г)/отклонение,к АППГ (январь-май 2017г)/темп роста,Отклонение от/ФО,Отклонение от/РФ,Ранг по/ФО,Ранг по/РФ
Российская  Федерация,"68,78","-0,05","99,9%",,,,
Дальневосточный федеральный округ,"70,35","-0,41","99,4%",,"1,57",,3
Амурская область,"67,20","-1,58","97,7%","-3,14","-1,57",8,46
Еврейская автономная область,"65,25","-1,09","98,4%","-5,09","-3,53",10,64
Забайкальский край,"67,19","-0,07","99,9%","-3,16","-1,59",9,47
Камчатская область,,,,,,,
Камчатский край,"72,38","0,08","100,1%","2,03","3,60",4,11
Корякский автономный округ,,,,,,,
Магаданская область,"74,72","-2,19","97,2%","4,37","5,94",2,6
Приморский край,"69,65","0,17","100,2%","-0,70","0,87",7,28
Республика Бурятия,"64,73","4,92","108,2%","-5,62","-4,05",11,70
Республика Саха (Якутия),"70,37","-0,72","99,0%","0,02","1,59",6,19
Сахалинская область,"73,18","0,65","100,9%","2,84","4,41",3,7
Хабаровский край,"71,45","-0,65","99,1%","1,10","2,67",5,14
Чукотский автономный округ,"79,24","1,19","101,5%","8,89","10,46",1,1
Приволжский федеральный округ,"67,14","-1,21","98,2%",,"-1,63",,5
Кировская область,"67,78","-0,66","99,0%","0,64","-1,00",5,41
Коми-Пермяцкий автономный округ,,,,,,,
Нижегородская область,"71,46","-0,43","99,4%","4,31","2,68",1,13
Оренбургская область,"66,09","-1,98","97,1%","-1,05","-2,68",8,58
Пензенская область,"66,28","-0,31","99,5%","-0,86","-2,50",7,55
Пермская область,,,,,,,
Пермский край,"64,26","-2,28","96,6%","-2,88","-4,51",12,77
Республика Башкортостан,"65,24","-0,06","99,9%","-1,91","-3,54",10,65
Республика Марий Эл,"63,67","-4,35","93,6%","-3,48","-5,11",13,79
Республика Мордовия,"66,87","-2,99","95,7%","-0,27","-1,91",6,52
Республика Татарстан (Татарстан),"69,80","-0,96","98,6%","2,66","1,03",3,25
Самарская область,"68,68","-1,72","97,6%","1,54","-0,09",4,34
Саратовская область,"63,41","-1,42","97,8%","-3,73","-5,37",14,80
Удмуртская республика,"70,17","0,23","100,3%","3,03","1,39",2,21
Ульяновская область,"64,71","-1,26","98,1%","-2,43","-4,07",11,71
Чувашская Республика-Чувашия,"66,00","-2,79","95,9%","-1,14","-2,78",9,60
Северо-Западный федеральный округ,"70,62","-0,64","99,1%",,"1,84",,2
Архангельская область,"66,88","-0,52","99,2%","-3,74","-1,90",7,51
Архангельская область без авт. округа,"66,71","-0,67","99,0%","-3,91","-2,06",8,53
Вологодская область,"66,13","0,55","100,8%","-4,49","-2,65",9,57
г. Санкт-Петербург,"74,75","-0,33","99,6%","4,13","5,97",1,5
Калининградская область,"70,23","1,07","101,6%","-0,40","1,45",4,20
Ленинградская область,"70,06","-2,18","97,0%","-0,56","1,28",5,22
Мурманская область,"72,87","0,06","100,1%","2,25","4,09",2,10
Ненецкий автономный округ,"71,30","3,39","105,0%","0,67","2,52",3,15
Новгородская область,"68,14","-2,04","97,1%","-2,48","-0,64",6,38
Псковская область,"64,29","0,83","101,3%","-6,33","-4,49",12,76
Республика Карелия,"65,61","-0,77","98,8%","-5,01","-3,16",10,62
Республика Коми,"65,49","-3,89","94,4%","-5,13","-3,29",11,63
Северо-Кавказский федеральный округ,"65,76","0,62","101,0%",,"-3,02",,8
Кабардино-Балкарская Республика,"70,91","2,76","104,1%","5,15","2,13",2,17
Карачаево-Черкесская Республика,"62,12","-0,86","98,6%","-3,64","-6,65",7,84
Республика Дагестан,"62,88","0,04","100,1%","-2,88","-5,89",6,82
Республика Ингушетия,"75,34","0,80","101,1%","9,58","6,57",1,4
Республика Северная Осетия-Алания,"67,65","3,33","105,2%","1,89","-1,13",4,43
Ставропольский край,"64,65","0,41","100,6%","-1,11","-4,13",5,72
Чеченская республика,"68,38","-0,09","99,9%","2,62","-0,39",3,35
Сибирский федеральный округ,"66,64","0,10","100,1%",,"-2,13",,7
Агинский-Бурятский автономный округ,,,,,,,
Алтайский край,"64,44","2,02","103,2%","-2,20","-4,33",8,73
Иркутская область,"66,64","-1,84","97,3%","-0,01","-2,14",5,54
Кемеровская область,"64,75","-1,91","97,1%","-1,89","-4,02",7,69
Красноярский край,"68,75","-0,09","99,9%","2,10","-0,03",2,33
