Территория,Значение (январь-ноябрь 2017г),к АППГ (январь-ноябрь 2016г)/отклонение,к АППГ (январь-ноябрь 2016г)/темп роста,Отклонение от/ФО,Отклонение от/РФ,Ранг по/ФО,Ранг по/РФ
Российская  Федерация,"69,37","-0,33","99,5%",,,,
Дальневосточный федеральный округ,"70,73","0,30","100,4%",,"1,36",,3
Амурская область,"67,94","0,57","100,8%","-2,79","-1,43",8,48
Еврейская автономная область,"65,38","0,26","100,4%","-5,35","-3,99",11,72
Забайкальский край,"67,12","0,40","100,6%","-3,61","-2,25",9,59
Камчатская область,,,,,,,
Камчатский край,"71,63","-0,89","98,8%","0,90","2,26",4,15
Корякский автономный округ,,,,,,,
Магаданская область,"78,79","2,42","103,2%","8,06","9,42",2,3
Приморский край,"70,06","0,23","100,3%","-0,66","0,69",7,27
Республика Бурятия,"65,47","2,15","103,4%","-5,26","-3,90",10,71
Республика Саха (Якутия),"70,32","0,08","100,1%","-0,41","0,95",6,24
Сахалинская область,"73,81","0,20","100,3%","3,08","4,44",3,9
Хабаровский край,"71,57","0,59","100,8%","0,84","2,20",5,16
Чукотский автономный округ,"82,40","-1,69","98,0%","11,67","13,03",1,1
Приволжский федеральный округ,"68,33","-1,15","98,3%",,"-1,04",,5
Кировская область,"68,85","-1,16","98,3%","0,52","-0,52",6,38
Коми-Пермяцкий автономный округ,,,,,,,
Нижегородская область,"71,71","0,07","100,1%","3,37","2,34",1,13
Оренбургская область,"68,74","-0,60","99,1%","0,41","-0,63",7,40
Пензенская область,"67,76","-1,38","98,0%","-0,57","-1,61",9,50
Пермская область,,,,,,,
Пермский край,"64,75","-2,13","96,8%","-3,58","-4,62",13,75
Республика Башкортостан,"67,39","-0,15","99,8%","-0,95","-1,98",10,57
Республика Марий Эл,"67,10","0,12","100,2%","-1,23","-2,27",11,60
Республика Мордовия,"69,49","-1,75","97,5%","1,16","0,12",4,29
Республика Татарстан (Татарстан),"70,86","-1,06","98,5%","2,53","1,49",2,21
Самарская область,"70,13","-0,82","98,8%","1,80","0,76",3,26
Саратовская область,"63,09","-2,69","95,9%","-5,24","-6,28",14,86
Удмуртская республика,"68,86","-4,65","93,7%","0,53","-0,50",5,37
Ульяновская область,"67,93","-0,05","99,9%","-0,40","-1,44",8,49
Чувашская Республика-Чувашия,"67,08","-1,48","97,8%","-1,25","-2,29",12,61
Северо-Западный федеральный округ,"71,14","-0,66","99,1%",,"1,77",,2
Архангельская область,"66,74","0,35","100,5%","-4,40","-2,63",9,63
Архангельская область без авт. округа,"66,64","0,48","100,7%","-4,50","-2,73",10,65
Вологодская область,"66,01","-3,50","95,0%","-5,13","-3,36",12,68
г. Санкт-Петербург,"74,86","-0,19","99,7%","3,72","5,49",1,6
Калининградская область,"70,04","-1,19","98,3%","-1,10","0,67",4,28
Ленинградская область,"71,01","0,86","101,2%","-0,12","1,64",3,19
Мурманская область,"73,61","-0,54","99,3%","2,47","4,24",2,10
Ненецкий автономный округ,"69,33","-3,34","95,4%","-1,81","-0,04",5,33
Новгородская область,"68,50","-0,16","99,8%","-2,64","-0,87",7,43
Псковская область,"66,11","-1,98","97,1%","-5,03","-3,26",11,67
Республика Карелия,"68,52","0,55","100,8%","-2,62","-0,85",6,42
Республика Коми,"67,66","-4,22","94,1%","-3,48","-1,71",8,52
Северо-Кавказский федеральный округ,"65,89","0,18","100,3%",,"-3,48",,8
Кабардино-Балкарская Республика,"69,38","2,69","104,0%","3,49","0,01",2,32
Карачаево-Черкесская Республика,"63,13","2,04","103,3%","-2,76","-6,24",7,85
Республика Дагестан,"63,15","-0,09","99,9%","-2,74","-6,22",6,84
Республика Ингушетия,"79,72","6,52","108,9%","13,83","10,35",1,2
Республика Северная Осетия-Алания,"67,47","2,12","103,2%","1,58","-1,90",4,54
Ставропольский край,"64,54","-1,33","98,0%","-1,35","-4,83",5,76
Чеченская республика,"68,30","-1,61","97,7%","2,40","-1,07",3,44
Сибирский федеральный округ,"67,18","-0,63","99,1%",,"-2,19",,7
Агинский-Бурятский автономный округ,,,,,,,
Алтайский край,"65,06","-0,71","98,9%","-2,12","-4,31",7,73
Иркутская область,"68,04","-1,55","97,8%","0,87","-1,33",4,45
Кемеровская область,"65,85","-2,31","96,6%","-1,33","-3,52",6,70
Красноярский край,"69,17","-0,01","100,0%","1,99","-0,20",2,35
Новосибирская область,"68,96","-0,20","99,7%","1,79","-0,41",3,36
Омская область,"69,45","-0,99","98,6%","2,28","0,09",1,31
Республика Алтай,"65,85","2,29","103,6%","-1,32","-3,52",5,69
Республика Тыва,"63,37","1,38","102,2%","-3,80","-6,00",9,81
Республика Хакасия,"63,35","0,00","100,0%","-3,82","-6,02",10,82
Таймырский автономный округ,,,,,,,
Томская область,"63,82","-1,14","98,2%","-3,35","-5,55",8,79
Усть-Ордынский Бурятский автономный округ,,,,,,,
Читинская область,,,,,,,
Эвенкийский автономный округ,,,,,,,
Уральский федеральный округ,"69,58","-0,66","99,1%",,"0,21",,4
Курганская область,"63,26","0,49","100,8%","-6,33","-6,11",7,83
Свердловская область,"67,39","-1,60","97,7%","-2,19","-1,98",5,56
Тюменская область,"71,47","-1,34","98,2%","1,89","2,10",4,17
Тюменская область без авт. округов,"66,67","-0,92","98,6%","-2,91","-2,70",6,64
Ханты-Мансийский автономный округ,"73,98","-1,65","97,8%","4,40","4,61",2,7
Челябинская область,"71,85","0,91","101,3%","2,26","2,48",3,11
Ямало-Ненецкий автономный округ,"76,59","-1,25","98,4%","7,00","7,22",1,4
Центральный федеральный округ,"72,00","0,36","100,5%",,"2,63",,1
Белгородская область,"70,21","0,02","100,0%","-1,79","0,84",7,25
Брянская область,"67,42","-0,81","98,8%","-4,58","-1,95",14,55
Владимирская область,"68,72","-1,62","97,7%","-3,28","-0,65",11,41
Воронежская область,"67,03","0,65","101,0%","-4,97","-2,34",16,62
г. Москва,"76,13","-0,74","99,0%","4,13","6,76",1,5
Ивановская область,"71,66","2,07","103,0%","-0,34","2,29",4,14
Калужская область,"70,49","-0,03","100,0%","-1,51","1,12",6,23
Костромская область,"67,66","0,21","100,3%","-4,34","-1,71",13,51
Курская область,"68,02","0,17","100,2%","-3,98","-1,35",12,47
Липецкая область,"68,80","0,41","100,6%","-3,20","-0,57",10,39
Московская область,"73,89","2,48","103,5%","1,89","4,52",2,8
Орловская область,"67,28","1,50","102,3%","-4,72","-2,09",15,58
Рязанская область,"63,62","1,50","102,4%","-8,38","-5,75",18,80
Смоленская область,"69,48","0,32","100,5%","-2,52","0,11",8,30
Тамбовская область,"64,43","-0,30","99,5%","-7,57","-4,94",17,77
Тверская область,"71,32","0,41","100,6%","-0,68","1,96",5,18
Тульская область,"69,18","-0,66","99,0%","-2,82","-0,19",9,34
Ярославская область,"71,85","0,66","100,9%","-0,15","2,48",3,11
Южный федеральный округ,"67,18","-0,16","99,8%",,"-2,19",,6
Астраханская область,"70,94","2,09","103,0%","3,76","1,57",1,20
Волгоградская область,"66,63","-1,27","98,1%","-0,55","-2,74",5,66
г. Севастополь,"64,86","1,91","103,0%","-2,32","-4,51",6,74
Краснодарский край,"68,03","0,16","100,2%","0,85","-1,34",3,46
Республика Адыгея (Адыгея),"60,19","-0,59","99,0%","-6,99","-9,18",8,87
Республика Калмыкия,"70,85","1,38","102,0%","3,66","1,48",2,22
Республика Крым,"64,13","0,05","100,1%","-3,05","-5,24",7,78
Ростовская область,"67,62","-0,78","98,9%","0,44","-1,75",4,53
