Территория,Значение (январь-октябрь 2017г),к АППГ (январь-октябрь 2016г)/отклонение,к АППГ (январь-октябрь 2016г)/темп роста,Отклонение от/ФО,Отклонение от/РФ,Ранг по/ФО,Ранг по/РФ
Российская  Федерация,"69,50","-0,40","99,4%",,,,
Дальневосточный федеральный округ,"70,69","0,29","100,4%",,"1,19",,3
Амурская область,"67,67","0,07","100,1%","-3,02","-1,83",8,54
Еврейская автономная область,"65,03","0,53","100,8%","-5,66","-4,47",11,73
Забайкальский край,"67,14","0,44","100,7%","-3,55","-2,36",9,60
Камчатская область,,,,,,,
Камчатский край,"72,24","-0,66","99,1%","1,55","2,74",4,12
Корякский автономный округ,,,,,,,
Магаданская область,"80,28","3,68","104,8%","9,59","10,78",2,2
Приморский край,"69,41","-0,39","99,4%","-1,28","-0,09",7,35
Республика Бурятия,"65,95","0,75","101,2%","-4,74","-3,55",10,70
Республика Саха (Якутия),"70,50","0,60","100,9%","-0,19","1,00",6,25
Сахалинская область,"74,36","-0,04","99,9%","3,67","4,86",3,8
Хабаровский край,"71,91","1,11","101,6%","1,22","2,41",5,13
Чукотский автономный округ,"82,20","-0,80","99,0%","11,51","12,70",1,1
Приволжский федеральный округ,"68,78","-1,02","98,5%",,"-0,72",,5
Кировская область,"69,15","-0,45","99,4%","0,38","-0,35",5,37
Коми-Пермяцкий автономный округ,,,,,,,
Нижегородская область,"71,71","0,01","100,0%","2,93","2,21",1,15
Оренбургская область,"68,91","0,31","100,4%","0,13","-0,59",7,40
Пензенская область,"66,46","-3,54","94,9%","-2,31","-3,04",12,66
Пермская область,,,,,,,
Пермский край,"65,49","-1,81","97,3%","-3,29","-4,01",13,71
Республика Башкортостан,"68,64","1,24","101,8%","-0,13","-0,86",8,43
Республика Марий Эл,"67,83","-0,07","99,9%","-0,94","-1,67",9,52
Республика Мордовия,"69,80","-1,80","97,5%","1,02","0,30",4,32
Республика Татарстан (Татарстан),"71,15","-0,95","98,7%","2,37","1,65",2,18
Самарская область,"70,90","-2,20","97,0%","2,12","1,40",3,22
Саратовская область,"64,09","-2,61","96,1%","-4,69","-5,41",14,83
