Территория,Значение (январь-сентябрь 2017г),к АППГ (январь-сентябрь 2016г)/отклонение,к АППГ (январь-сентябрь 2016г)/темп роста,Отклонение от/ФО,Отклонение от/РФ,Ранг по/ФО,Ранг по/РФ
Российская  Федерация,"69,46","-0,67","99,1%",,,,
Дальневосточный федеральный округ,"70,91","0,17","100,2%",,"1,45",,3
Амурская область,"68,22","0,20","100,3%","-2,69","-1,24",8,47
Еврейская автономная область,"65,46","-0,46","99,3%","-5,45","-4,00",10,74
Забайкальский край,"67,20","0,47","100,7%","-3,71","-2,26",9,58
Камчатская область,,,,,,,
Камчатский край,"72,79","-0,66","99,1%","1,88","3,33",4,11
Корякский автономный округ,,,,,,,
Магаданская область,"82,00","5,30","106,9%","11,09","12,54",1,1
Приморский край,"70,20","0,04","100,1%","-0,71","0,74",7,30
Республика Бурятия,"63,62","-1,75","97,3%","-7,29","-5,84",11,85
Республика Саха (Якутия),"70,65","1,52","102,2%","-0,26","1,19",6,26
Сахалинская область,"74,19","-0,40","99,5%","3,28","4,73",3,8
Хабаровский край,"71,04","-0,71","99,0%","0,13","1,58",5,22
Чукотский автономный округ,"81,59","0,76","100,9%","10,68","12,13",2,2
Приволжский федеральный округ,"68,89","-0,99","98,6%",,"-0,57",,5
Кировская область,"70,60","0,58","100,8%","1,71","1,14",5,27
Коми-Пермяцкий автономный округ,,,,,,,
Нижегородская область,"71,68","0,06","100,1%","2,79","2,22",1,13
Оренбургская область,"68,81","0,39","100,6%","-0,08","-0,65",7,38
Пензенская область,"66,52","-2,88","95,8%","-2,37","-2,94",12,67
Пермская область,,,,,,,
Пермский край,"64,98","-2,01","97,0%","-3,91","-4,48",13,77
Республика Башкортостан,"68,39","1,93","102,9%","-0,50","-1,07",9,43
Республика Марий Эл,"67,98","-1,61","97,7%","-0,91","-1,48",10,49
Республика Мордовия,"71,00","-0,95","98,7%","2,11","1,54",4,23
Республика Татарстан (Татарстан),"71,17","-1,68","97,7%","2,28","1,71",2,18
Самарская область,"71,08","-2,57","96,5%","2,19","1,62",3,20
Саратовская область,"64,44","-3,13","95,4%","-4,45","-5,02",14,81
Удмуртская республика,"69,52","-1,58","97,8%","0,63","0,06",6,34
Ульяновская область,"67,16","-1,24","98,2%","-1,73","-2,30",11,59
