Территория,Значение (январь 2017г),к АППГ (январь 2016г)/отклонение,к АППГ (январь 2016г)/темп роста,Отклонение от/ФО,Отклонение от/РФ,Ранг по/ФО,Ранг по/РФ
Российская  Федерация,"69,41","0,37","100,5%",,,,
Дальневосточный федеральный округ,"70,91","0,70","101,0%",,"1,50",,3
Амурская область,"67,04","-0,74","98,9%","-3,86","-2,37",8,59
Еврейская автономная область,"66,47","-1,11","98,4%","-4,44","-2,94",10,66
Забайкальский край,"66,84","0,28","100,4%","-4,07","-2,58",9,61
Камчатская область,,,,,,,
Камчатский край,"71,16","-3,05","95,9%","0,25","1,75",5,16
Корякский автономный округ,,,,,,,
Магаданская область,"75,46","-2,40","96,9%","4,55","6,05",2,5
Приморский край,"71,02","0,98","101,4%","0,11","1,61",6,18
Республика Бурятия,"60,25","-2,03","96,7%","-10,66","-9,16",11,86
Республика Саха (Якутия),"70,34","1,34","101,9%","-0,57","0,92",7,25
Сахалинская область,"73,07","0,84","101,2%","2,17","3,66",3,10
Хабаровский край,"72,02","2,09","103,0%","1,11","2,61",4,13
Чукотский автономный округ,"85,86","2,78","103,3%","14,95","16,45",1,1
Приволжский федеральный округ,"68,55","-0,07","99,9%",,"-0,86",,5
Кировская область,"70,47","0,38","100,5%","1,92","1,06",4,24
Коми-Пермяцкий автономный округ,,,,,,,
Нижегородская область,"71,65","1,19","101,7%","3,10","2,24",1,14
Оренбургская область,"68,51","1,18","101,8%","-0,04","-0,90",8,46
Пензенская область,"66,15","-1,26","98,1%","-2,40","-3,26",13,69
Пермская область,,,,,,,
Пермский край,"66,69","0,28","100,4%","-1,86","-2,72",11,63
Республика Башкортостан,"66,81","-0,04","99,9%","-1,74","-2,60",10,62
Республика Марий Эл,"67,68","-1,18","98,3%","-0,87","-1,73",9,51
Республика Мордовия,"70,02","-1,01","98,6%","1,47","0,61",5,28
Республика Татарстан (Татарстан),"70,91","-0,09","99,9%","2,36","1,49",2,19
Самарская область,"69,50","-0,30","99,6%","0,95","0,09",6,35
Саратовская область,"63,94","-1,05","98,4%","-4,61","-5,47",14,80
Удмуртская республика,"70,61","-0,23","99,7%","2,06","1,20",3,21
Ульяновская область,"66,67","0,37","100,6%","-1,88","-2,75",12,64
Чувашская Республика-Чувашия,"69,02","-1,87","97,4%","0,47","-0,39",7,41
Северо-Западный федеральный округ,"71,72","0,77","101,1%",,"2,31",,1
Архангельская область,"68,25","3,44","105,3%","-3,48","-1,17",9,48
Архангельская область без авт. округа,"67,95","3,48","105,4%","-3,78","-1,46",10,49
Вологодская область,"66,91","-0,58","99,1%","-4,81","-2,50",12,60
г. Санкт-Петербург,"75,24","1,38","101,9%","3,52","5,83",2,7
